FusionName	Fusion_Type	Gene_Symbol	Gene_Position	Fusion_anno	BreakpointLocation	annots	Kinase_domain_retained_Gene1A	Kinase_domain_retained_Gene1B	Reciprocal_exists_either_gene_kinase	Gene1A_anno	Gene1B_anno	Gene2A_anno	Gene2B_anno	Total_alterations_Over_Patients_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_Over_Primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_Over_Relapse_tumors_in_dataset	Frequency_in_relapse_tumors
FOCAD--MLLT3	other	MLLT3	Gene1B		Genic	[CCLE, INTRACHROMOSOMAL[chr9:0.04Mb], LOCAL_INVERSION:+:-:[35766]], inversion			FALSE		CosmicCensus, Oncogene			1/22	4.55%	0/18	0.00%	0/4	0.00%
MLLT3--FOCAD	frameshift	FOCAD	Gene1B		Genic	[FA_CancerSupp, INTRACHROMOSOMAL[chr9:0.04Mb], LOCAL_INVERSION:-:+:[35766]], inversion			FALSE	CosmicCensus, Oncogene				1/22	4.55%	0/18	0.00%	0/4	0.00%
KIAA1549--KIAA1549	in-frame	KIAA1549	Gene1B		Intragenic	[SELFIE, [\ChimerSeq\], INTRACHROMOSOMAL[chr7:0.15Mb]], duplication/non-canonical_splicing			FALSE	CosmicCensus, Oncogene	CosmicCensus, Oncogene			1/22	4.55%	0/18	0.00%	0/4	0.00%
SMAD4/AC090330.1--LINC01630	other	LINC01630	Gene1B		Intergenic	[], deletion			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor				2/22	9.09%	0/18	0.00%	0/4	0.00%
ATP6V0E2--LINC01510/MET	frameshift	LINC01510	Gene1B		Intergenic	[], inversion			FALSE					1/22	4.55%	0/18	0.00%	0/4	0.00%
KIAA1549--KIAA1549	frameshift	KIAA1549	Gene1B		Intragenic	[SELFIE, [\ChimerSeq\], INTRACHROMOSOMAL[chr7:0.15Mb]], duplication/non-canonical_splicing			FALSE	CosmicCensus, Oncogene	CosmicCensus, Oncogene			1/22	4.55%	0/18	0.00%	0/4	0.00%
LINC01019--LINC01019/IRX1	other	IRX1	Gene2B		Intergenic	[], duplication			FALSE					1/22	4.55%	0/18	0.00%	0/4	0.00%
ATP6V0E2--LINC01510/MET	frameshift	MET	Gene2B		Intergenic	[], inversion			FALSE					1/22	4.55%	0/18	0.00%	0/4	0.00%
LINC02246--NRIP1	other	LINC02246	Gene1A		Genic	[INTRACHROMOSOMAL[chr21:0.04Mb], LOCAL_REARRANGEMENT:-:[42683]], duplication			FALSE		Oncogene			1/4	25.00%	0/4	0.00%	0/0	
AL139099.5--GNAS	other	AL139099.5	Gene1A		Genic	[INTERCHROMOSOMAL[chr14--chr20]]			FALSE		CosmicCensus, Oncogene			1/4	25.00%	0/4	0.00%	0/0	
RN7SL1--GNAS	other	RN7SL1	Gene1A		Genic	[INTERCHROMOSOMAL[chr14--chr20]]			FALSE		CosmicCensus, Oncogene			1/4	25.00%	0/4	0.00%	0/0	
ROBO2--FRY	in-frame	ROBO2	Gene1A		Genic	[INTERCHROMOSOMAL[chr3--chr13]], translocation			FALSE	CosmicCensus				1/4	25.00%	0/4	0.00%	0/0	
RRAS2--AC018523.2	frameshift	RRAS2	Gene1A		Genic	[INTRACHROMOSOMAL[chr11:0.13Mb]], duplication			FALSE	Oncogene				1/4	25.00%	0/4	0.00%	0/0	
RRAS2--COPB1	frameshift	RRAS2	Gene1A		Genic	[Klijn_CellLines, INTRACHROMOSOMAL[chr11:0.08Mb], LOCAL_REARRANGEMENT:-:[78934]], duplication			FALSE	Oncogene				1/4	25.00%	0/4	0.00%	0/0	
LINC02246--NRIP1	other	NRIP1	Gene1B		Genic	[INTRACHROMOSOMAL[chr21:0.04Mb], LOCAL_REARRANGEMENT:-:[42683]], duplication			FALSE		Oncogene			1/4	25.00%	0/4	0.00%	0/0	
AL139099.5--GNAS	other	GNAS	Gene1B		Genic	[INTERCHROMOSOMAL[chr14--chr20]]			FALSE		CosmicCensus, Oncogene			1/4	25.00%	0/4	0.00%	0/0	
RN7SL1--GNAS	other	GNAS	Gene1B		Genic	[INTERCHROMOSOMAL[chr14--chr20]]			FALSE		CosmicCensus, Oncogene			1/4	25.00%	0/4	0.00%	0/0	
ROBO2--FRY	in-frame	FRY	Gene1B		Genic	[INTERCHROMOSOMAL[chr3--chr13]], translocation			FALSE	CosmicCensus				1/4	25.00%	0/4	0.00%	0/0	
RRAS2--AC018523.2	frameshift	AC018523.2	Gene1B		Genic	[INTRACHROMOSOMAL[chr11:0.13Mb]], duplication			FALSE	Oncogene				1/4	25.00%	0/4	0.00%	0/0	
RRAS2--COPB1	frameshift	COPB1	Gene1B		Genic	[Klijn_CellLines, INTRACHROMOSOMAL[chr11:0.08Mb], LOCAL_REARRANGEMENT:-:[78934]], duplication			FALSE	Oncogene				1/4	25.00%	0/4	0.00%	0/0	
BCR--AP000350.4	in-frame	BCR	Gene1A		Genic	[INTRACHROMOSOMAL[chr22:0.54Mb]], deletion			FALSE	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
BCR--GALNT12	frameshift	BCR	Gene1A		Genic	[INTERCHROMOSOMAL[chr22--chr9]], translocation/5'-5'			FALSE	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
BCR--SLC2A11	in-frame	BCR	Gene1A		Genic	[INTRACHROMOSOMAL[chr22:0.54Mb]], deletion			FALSE	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
CABIN1--GNAQ	other	CABIN1	Gene1A		Genic	[INTERCHROMOSOMAL[chr22--chr9]], translocation			FALSE		CosmicCensus, Oncogene			1/28	3.57%	0/24	0.00%	0/6	0.00%
COL11A1--COL11A1	in-frame	COL11A1	Gene1A		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr1:0.23Mb]], duplication/non-canonical_splicing			FALSE	Oncogene	Oncogene			1/28	3.57%	0/24	0.00%	0/6	0.00%
PITPNB--ANKS6	in-frame	PITPNB	Gene1A		Genic	[INTERCHROMOSOMAL[chr22--chr9]], translocation			FALSE					1/28	3.57%	0/24	0.00%	0/6	0.00%
RMRP--CROCC	other	RMRP	Gene1A		Genic	[INTERCHROMOSOMAL[chr9--chr1]], translocation			FALSE	Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
AL138752.2--CUX1	in-frame	AL138752.2	Gene1A		Genic	[INTERCHROMOSOMAL[chr9--chr7]], translocation			FALSE		TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor			1/28	3.57%	0/24	0.00%	0/6	0.00%
AL138752.2--CUX1	frameshift	AL138752.2	Gene1A		Genic	[INTERCHROMOSOMAL[chr9--chr7]], translocation			FALSE		TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor			1/28	3.57%	0/24	0.00%	0/6	0.00%
CUX1--AL138752.2	frameshift	CUX1	Gene1A		Genic	[INTERCHROMOSOMAL[chr7--chr9]], translocation			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor				1/28	3.57%	0/24	0.00%	0/6	0.00%
CUX1--SHB	frameshift	CUX1	Gene1A		Genic	[INTERCHROMOSOMAL[chr7--chr9]], translocation			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor				1/28	3.57%	0/24	0.00%	0/6	0.00%
NPAS3--ARHGAP5	frameshift	NPAS3	Gene1A		Genic	[INTRACHROMOSOMAL[chr14:0.78Mb]], duplication			FALSE	TranscriptionFactor	CosmicCensus			1/28	3.57%	0/24	0.00%	0/6	0.00%
SHB--CUX1	in-frame	SHB	Gene1A		Genic	[INTERCHROMOSOMAL[chr9--chr7]], translocation			FALSE		TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor			1/28	3.57%	0/24	0.00%	0/6	0.00%
SHB--CUX1	frameshift	SHB	Gene1A		Genic	[INTERCHROMOSOMAL[chr9--chr7]], translocation			FALSE		TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor			1/28	3.57%	0/24	0.00%	0/6	0.00%
SMAD4/AC090330.1--LINC01630	other	SMAD4	Gene1A		Intergenic	[], deletion			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor				1/28	3.57%	0/24	0.00%	0/6	0.00%
ERMN--ROR2	frameshift	ERMN	Gene1A		Genic	[INTERCHROMOSOMAL[chr2--chr9]], translocation		No	FALSE		Kinase, TumorSuppressorGene, Oncogene, Kinase			1/28	3.57%	0/24	0.00%	0/6	0.00%
AC139143.1/SYT8--ACTB	other	AC139143.1	Gene1A		Intergenic	[], translocation			FALSE		Oncogene			1/28	3.57%	0/24	0.00%	0/6	0.00%
ADAMTS14--PRF1/ADAMTS14	frameshift	ADAMTS14	Gene1A		Intergenic	[], duplication			FALSE		CosmicCensus, Oncogene			1/28	3.57%	0/24	0.00%	0/6	0.00%
MYH9--EIF3D	in-frame	MYH9	Gene1A		Genic	[FA_CancerSupp, ChimerSeq, CCLE, INTRACHROMOSOMAL[chr22:0.12Mb]], duplication			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
PTPN12--SRRM3	other	PTPN12	Gene1A		Genic	[CCLE, INTRACHROMOSOMAL[chr7:1.25Mb]], duplication			FALSE	TumorSuppressorGene				1/28	3.57%	0/24	0.00%	0/6	0.00%
SFMBT2--LINC00707/AL392086.1	frameshift	SFMBT2	Gene1A		Intergenic	[], inversion			FALSE	Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
ICAM1--QTRT1	frameshift	ICAM1	Gene1A		Genic	[INTRACHROMOSOMAL[chr19:0.41Mb]], deletion			FALSE	Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
ICAM1--QTRT1	in-frame	ICAM1	Gene1A		Genic	[INTRACHROMOSOMAL[chr19:0.41Mb]], deletion			FALSE	Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
PPARD--ZNF76	in-frame	PPARD	Gene1A		Genic	[INTRACHROMOSOMAL[chr6:0.05Mb], LOCAL_REARRANGEMENT:+:[46573]], duplication			FALSE	Oncogene, TranscriptionFactor	TranscriptionFactor			1/28	3.57%	0/24	0.00%	0/6	0.00%
ULK4--ULK4	other	ULK4	Gene1A		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr3:0.72Mb]], duplication	Yes	No	TRUE	Kinase, Kinase	Kinase, Kinase			1/28	3.57%	0/24	0.00%	0/6	0.00%
RN7SK--RMRP	other	RN7SK	Gene1A		Genic	[INTERCHROMOSOMAL[chr6--chr9]]			FALSE		Oncogene			1/28	3.57%	0/24	0.00%	0/6	0.00%
AUTS2--ELK3	frameshift	AUTS2	Gene1A		Genic	[INTERCHROMOSOMAL[chr7--chr12]], translocation			FALSE		Oncogene, TranscriptionFactor			1/28	3.57%	0/24	0.00%	0/6	0.00%
CDCP1--SRGAP1	in-frame	CDCP1	Gene1A		Genic	[INTERCHROMOSOMAL[chr3--chr12]], translocation			FALSE	TumorSuppressorGene				1/28	3.57%	0/24	0.00%	0/6	0.00%
DYRK1A--AC092155.1	other	DYRK1A	Gene1A		Genic	[INTERCHROMOSOMAL[chr21--chr2]], translocation	No		FALSE	Kinase, Oncogene, Kinase				1/28	3.57%	0/24	0.00%	0/6	0.00%
DYRK1A--AC092155.1	frameshift	DYRK1A	Gene1A		Genic	[INTERCHROMOSOMAL[chr21--chr2]], translocation	No		FALSE	Kinase, Oncogene, Kinase				1/28	3.57%	0/24	0.00%	0/6	0.00%
SRGAP1--CDCP1	in-frame	SRGAP1	Gene1A		Genic	[INTERCHROMOSOMAL[chr12--chr3]], translocation			FALSE		TumorSuppressorGene			1/28	3.57%	0/24	0.00%	0/6	0.00%
TFDP1--FAM122C	frameshift	TFDP1	Gene1A		Genic	[INTERCHROMOSOMAL[chr13--chrX]], translocation			FALSE	TranscriptionFactor				1/28	3.57%	0/24	0.00%	0/6	0.00%
TFDP1--PLAC1	frameshift	TFDP1	Gene1A		Genic	[INTERCHROMOSOMAL[chr13--chrX]], translocation/5'-5'			FALSE	TranscriptionFactor				1/28	3.57%	0/24	0.00%	0/6	0.00%
ZNF428--RNF128	frameshift	ZNF428	Gene1A		Genic	[INTERCHROMOSOMAL[chr19--chrX]], translocation/5'-5'			FALSE	TranscriptionFactor				1/28	3.57%	0/24	0.00%	0/6	0.00%
AC103746.1--NR2F2	other	AC103746.1	Gene1A		Genic	[INTRACHROMOSOMAL[chr15:0.00Mb], LOCAL_REARRANGEMENT:+:[2690]], duplication			FALSE		TranscriptionFactor			1/28	3.57%	0/24	0.00%	0/6	0.00%
BCR--KIAA1671	frameshift	BCR	Gene1A		Genic	[INTRACHROMOSOMAL[chr22:1.63Mb]], deletion			FALSE	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
BCR--MIF	frameshift	BCR	Gene1A		Genic	[INTRACHROMOSOMAL[chr22:0.58Mb]], deletion			FALSE	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene	Oncogene			1/28	3.57%	0/24	0.00%	0/6	0.00%
ERC1--EPB41	in-frame	ERC1	Gene1A		Genic	[INTERCHROMOSOMAL[chr12--chr1]], translocation			FALSE	CosmicCensus, Oncogene	TumorSuppressorGene			1/28	3.57%	0/24	0.00%	0/6	0.00%
TBC1D22A--ZNRF3	frameshift	TBC1D22A	Gene1A		Genic	[INTRACHROMOSOMAL[chr22:17.71Mb]], duplication			FALSE		CosmicCensus			1/28	3.57%	0/24	0.00%	0/6	0.00%
NF2--TTC28	frameshift	NF2	Gene1A		Genic	[INTRACHROMOSOMAL[chr22:0.92Mb]], inversion			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
BCR--AP000350.4	in-frame	AP000350.4	Gene1B		Genic	[INTRACHROMOSOMAL[chr22:0.54Mb]], deletion			FALSE	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
BCR--GALNT12	frameshift	GALNT12	Gene1B		Genic	[INTERCHROMOSOMAL[chr22--chr9]], translocation/5'-5'			FALSE	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
BCR--SLC2A11	in-frame	SLC2A11	Gene1B		Genic	[INTRACHROMOSOMAL[chr22:0.54Mb]], deletion			FALSE	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
CABIN1--GNAQ	other	GNAQ	Gene1B		Genic	[INTERCHROMOSOMAL[chr22--chr9]], translocation			FALSE		CosmicCensus, Oncogene			1/28	3.57%	0/24	0.00%	0/6	0.00%
COL11A1--COL11A1	in-frame	COL11A1	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr1:0.23Mb]], duplication/non-canonical_splicing			FALSE	Oncogene	Oncogene			1/28	3.57%	0/24	0.00%	0/6	0.00%
PITPNB--ANKS6	in-frame	ANKS6	Gene1B		Genic	[INTERCHROMOSOMAL[chr22--chr9]], translocation			FALSE					1/28	3.57%	0/24	0.00%	0/6	0.00%
RMRP--CROCC	other	CROCC	Gene1B		Genic	[INTERCHROMOSOMAL[chr9--chr1]], translocation			FALSE	Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
AL138752.2--CUX1	in-frame	CUX1	Gene1B		Genic	[INTERCHROMOSOMAL[chr9--chr7]], translocation			FALSE		TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor			1/28	3.57%	0/24	0.00%	0/6	0.00%
AL138752.2--CUX1	frameshift	CUX1	Gene1B		Genic	[INTERCHROMOSOMAL[chr9--chr7]], translocation			FALSE		TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor			1/28	3.57%	0/24	0.00%	0/6	0.00%
CUX1--AL138752.2	frameshift	AL138752.2	Gene1B		Genic	[INTERCHROMOSOMAL[chr7--chr9]], translocation			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor				1/28	3.57%	0/24	0.00%	0/6	0.00%
CUX1--SHB	frameshift	SHB	Gene1B		Genic	[INTERCHROMOSOMAL[chr7--chr9]], translocation			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor				1/28	3.57%	0/24	0.00%	0/6	0.00%
NPAS3--ARHGAP5	frameshift	ARHGAP5	Gene1B		Genic	[INTRACHROMOSOMAL[chr14:0.78Mb]], duplication			FALSE	TranscriptionFactor	CosmicCensus			1/28	3.57%	0/24	0.00%	0/6	0.00%
SHB--CUX1	in-frame	CUX1	Gene1B		Genic	[INTERCHROMOSOMAL[chr9--chr7]], translocation			FALSE		TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor			1/28	3.57%	0/24	0.00%	0/6	0.00%
SHB--CUX1	frameshift	CUX1	Gene1B		Genic	[INTERCHROMOSOMAL[chr9--chr7]], translocation			FALSE		TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor			1/28	3.57%	0/24	0.00%	0/6	0.00%
SMAD4/AC090330.1--LINC01630	other	LINC01630	Gene1B		Intergenic	[], deletion			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor				1/28	3.57%	0/24	0.00%	0/6	0.00%
ERMN--ROR2	frameshift	ROR2	Gene1B		Genic	[INTERCHROMOSOMAL[chr2--chr9]], translocation		No	FALSE		Kinase, TumorSuppressorGene, Oncogene, Kinase			1/28	3.57%	0/24	0.00%	0/6	0.00%
AC139143.1/SYT8--ACTB	other	ACTB	Gene1B		Intergenic	[], translocation			FALSE		Oncogene			1/28	3.57%	0/24	0.00%	0/6	0.00%
ADAMTS14--PRF1/ADAMTS14	frameshift	PRF1	Gene1B		Intergenic	[], duplication			FALSE		CosmicCensus, Oncogene			1/28	3.57%	0/24	0.00%	0/6	0.00%
MYH9--EIF3D	in-frame	EIF3D	Gene1B		Genic	[FA_CancerSupp, ChimerSeq, CCLE, INTRACHROMOSOMAL[chr22:0.12Mb]], duplication			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
PTPN12--SRRM3	other	SRRM3	Gene1B		Genic	[CCLE, INTRACHROMOSOMAL[chr7:1.25Mb]], duplication			FALSE	TumorSuppressorGene				1/28	3.57%	0/24	0.00%	0/6	0.00%
SFMBT2--LINC00707/AL392086.1	frameshift	LINC00707	Gene1B		Intergenic	[], inversion			FALSE	Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
ICAM1--QTRT1	frameshift	QTRT1	Gene1B		Genic	[INTRACHROMOSOMAL[chr19:0.41Mb]], deletion			FALSE	Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
ICAM1--QTRT1	in-frame	QTRT1	Gene1B		Genic	[INTRACHROMOSOMAL[chr19:0.41Mb]], deletion			FALSE	Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
PPARD--ZNF76	in-frame	ZNF76	Gene1B		Genic	[INTRACHROMOSOMAL[chr6:0.05Mb], LOCAL_REARRANGEMENT:+:[46573]], duplication			FALSE	Oncogene, TranscriptionFactor	TranscriptionFactor			1/28	3.57%	0/24	0.00%	0/6	0.00%
ULK4--ULK4	other	ULK4	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr3:0.72Mb]], duplication	Yes	No	TRUE	Kinase, Kinase	Kinase, Kinase			1/28	3.57%	0/24	0.00%	0/6	0.00%
RN7SK--RMRP	other	RMRP	Gene1B		Genic	[INTERCHROMOSOMAL[chr6--chr9]]			FALSE		Oncogene			1/28	3.57%	0/24	0.00%	0/6	0.00%
AUTS2--ELK3	frameshift	ELK3	Gene1B		Genic	[INTERCHROMOSOMAL[chr7--chr12]], translocation			FALSE		Oncogene, TranscriptionFactor			1/28	3.57%	0/24	0.00%	0/6	0.00%
CDCP1--SRGAP1	in-frame	SRGAP1	Gene1B		Genic	[INTERCHROMOSOMAL[chr3--chr12]], translocation			FALSE	TumorSuppressorGene				1/28	3.57%	0/24	0.00%	0/6	0.00%
DYRK1A--AC092155.1	other	AC092155.1	Gene1B		Genic	[INTERCHROMOSOMAL[chr21--chr2]], translocation	No		FALSE	Kinase, Oncogene, Kinase				1/28	3.57%	0/24	0.00%	0/6	0.00%
DYRK1A--AC092155.1	frameshift	AC092155.1	Gene1B		Genic	[INTERCHROMOSOMAL[chr21--chr2]], translocation	No		FALSE	Kinase, Oncogene, Kinase				1/28	3.57%	0/24	0.00%	0/6	0.00%
SRGAP1--CDCP1	in-frame	CDCP1	Gene1B		Genic	[INTERCHROMOSOMAL[chr12--chr3]], translocation			FALSE		TumorSuppressorGene			1/28	3.57%	0/24	0.00%	0/6	0.00%
TFDP1--FAM122C	frameshift	FAM122C	Gene1B		Genic	[INTERCHROMOSOMAL[chr13--chrX]], translocation			FALSE	TranscriptionFactor				1/28	3.57%	0/24	0.00%	0/6	0.00%
TFDP1--PLAC1	frameshift	PLAC1	Gene1B		Genic	[INTERCHROMOSOMAL[chr13--chrX]], translocation/5'-5'			FALSE	TranscriptionFactor				1/28	3.57%	0/24	0.00%	0/6	0.00%
ZNF428--RNF128	frameshift	RNF128	Gene1B		Genic	[INTERCHROMOSOMAL[chr19--chrX]], translocation/5'-5'			FALSE	TranscriptionFactor				1/28	3.57%	0/24	0.00%	0/6	0.00%
AC103746.1--NR2F2	other	NR2F2	Gene1B		Genic	[INTRACHROMOSOMAL[chr15:0.00Mb], LOCAL_REARRANGEMENT:+:[2690]], duplication			FALSE		TranscriptionFactor			1/28	3.57%	0/24	0.00%	0/6	0.00%
BCR--KIAA1671	frameshift	KIAA1671	Gene1B		Genic	[INTRACHROMOSOMAL[chr22:1.63Mb]], deletion			FALSE	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
BCR--MIF	frameshift	MIF	Gene1B		Genic	[INTRACHROMOSOMAL[chr22:0.58Mb]], deletion			FALSE	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene	Oncogene			1/28	3.57%	0/24	0.00%	0/6	0.00%
ERC1--EPB41	in-frame	EPB41	Gene1B		Genic	[INTERCHROMOSOMAL[chr12--chr1]], translocation			FALSE	CosmicCensus, Oncogene	TumorSuppressorGene			1/28	3.57%	0/24	0.00%	0/6	0.00%
TBC1D22A--ZNRF3	frameshift	ZNRF3	Gene1B		Genic	[INTRACHROMOSOMAL[chr22:17.71Mb]], duplication			FALSE		CosmicCensus			1/28	3.57%	0/24	0.00%	0/6	0.00%
NF2--TTC28	frameshift	TTC28	Gene1B		Genic	[INTRACHROMOSOMAL[chr22:0.92Mb]], inversion			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
ADAMTS14--PRF1/ADAMTS14	frameshift	ADAMTS14	Gene2B		Intergenic	[], duplication			FALSE		CosmicCensus, Oncogene			1/28	3.57%	0/24	0.00%	0/6	0.00%
SFMBT2--LINC00707/AL392086.1	frameshift	AL392086.1	Gene2B		Intergenic	[], inversion			FALSE	Oncogene				1/28	3.57%	0/24	0.00%	0/6	0.00%
NR6A1--DENND1A	frameshift	NR6A1	Gene1A		Genic	[INTRACHROMOSOMAL[chr9:0.59Mb]], inversion/5'-5'			FALSE	TranscriptionFactor				1/3	33.33%	0/3	0.00%	0/1	0.00%
TFAP4/GLIS2--SH3GLB2	other	TFAP4	Gene1A		Intergenic	[], translocation			FALSE	Oncogene, TranscriptionFactor				1/3	33.33%	0/3	0.00%	0/1	0.00%
ADCY9--CA5B	frameshift	ADCY9	Gene1A		Genic	[INTERCHROMOSOMAL[chr16--chrX]], translocation			FALSE					1/3	33.33%	0/3	0.00%	0/1	0.00%
DENND1A--TFAP4	frameshift	DENND1A	Gene1A		Genic	[INTERCHROMOSOMAL[chr9--chr16]], translocation			FALSE		Oncogene, TranscriptionFactor			1/3	33.33%	0/3	0.00%	0/1	0.00%
TTF1--NUP188	other	TTF1	Gene1A		Genic	[INTRACHROMOSOMAL[chr9:3.37Mb]], inversion			FALSE	TumorSuppressorGene, TranscriptionFactor				1/3	33.33%	0/3	0.00%	0/1	0.00%
VTI1A--CHST15/OAT	frameshift	VTI1A	Gene1A		Intergenic	[], deletion			FALSE	CosmicCensus, Oncogene				1/3	33.33%	0/3	0.00%	0/1	0.00%
BCR--MKL1	frameshift	BCR	Gene1A		Genic	[INTRACHROMOSOMAL[chr22:17.09Mb]], deletion/5'-5'			FALSE	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene	Oncogene			1/3	33.33%	0/3	0.00%	0/1	0.00%
