LeftBreakpoint	RightBreakpoint	FusionName	Sample	Caller	Fusion_Type	JunctionReadCount	SpanningFragCount	Confidence	annots	Gene1A	Gene2A	Gene1B	Gene2B	Gene1A_anno	Gene1B_anno	Gene2A_anno	Gene2B_anno	Fusion_anno
1:211082780	1:211107377	AL590132.1--KCNH1	BS_044XZ8ST	ARRIBA	frameshift	7	2	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
1:211082780	1:211090690	AL590132.1--KCNH1	BS_044XZ8ST	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
1:211090562	1:211107377	AL590132.1--KCNH1	BS_044XZ8ST	ARRIBA	in-frame	1	0	low	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
12:95947437	15:84546277	AMDHD1--UBE2Q2P1	BS_044XZ8ST	ARRIBA	other	4	0	high	[INTERCHROMOSOMAL[chr12--chr15]],translocation	AMDHD1	NA	UBE2Q2P1	NA	NA	NA	NA	NA	NA
2:69152264	7:140787584	ANTXR1--BRAF	BS_044XZ8ST	ARRIBA	in-frame	8	2	high	[INTERCHROMOSOMAL[chr2--chr7]],translocation	ANTXR1	NA	BRAF	NA	NA	Kinase, CosmicCensus, Oncogene, Kinase	NA	NA	NA
2:69193415	7:140850212	ANTXR1--BRAF	BS_044XZ8ST	ARRIBA	in-frame	1	2	medium	[INTERCHROMOSOMAL[chr2--chr7]],translocation	ANTXR1	NA	BRAF	NA	NA	Kinase, CosmicCensus, Oncogene, Kinase	NA	NA	NA
2:69193415	7:140794467	ANTXR1--BRAF	BS_044XZ8ST	ARRIBA	frameshift	1	2	medium	[INTERCHROMOSOMAL[chr2--chr7]],translocation	ANTXR1	NA	BRAF	NA	NA	Kinase, CosmicCensus, Oncogene, Kinase	NA	NA	NA
11:57152640	11:57189151	AP001521.2(96508)/LRRC55(29107)--LRRC55	BS_044XZ8ST	ARRIBA	other	3	0	low	[],duplication	AP001521.2	LRRC55	LRRC55	NA	NA	NA	NA	NA	NA
7:140794308	2:69170248	BRAF--ANTXR1	BS_044XZ8ST	ARRIBA	in-frame	24	5	high	[INTERCHROMOSOMAL[chr7--chr2]],translocation	BRAF	NA	ANTXR1	NA	Kinase, CosmicCensus, Oncogene, Kinase	NA	NA	NA	NA
7:140794308	2:69170248	BRAF--ANTXR1	BS_044XZ8ST	STARFUSION	in-frame	26	5	NA	[INTERCHROMOSOMAL[chr7--chr2]]	BRAF	NA	ANTXR1	NA	Kinase, CosmicCensus, Oncogene, Kinase	NA	NA	NA	NA
9:22049228	9:22029433	CDKN2B-AS1--CDKN2B-AS1	BS_044XZ8ST	ARRIBA	other	5	1	low	[SELFIE,INTRACHROMOSOMAL[chr9:0.13Mb]],duplication/non-canonical_splicing	CDKN2B-AS1	NA	CDKN2B-AS1	NA	NA	NA	NA	NA	NA
10:103076270	10:103049707	CNNM2--CNNM2	BS_044XZ8ST	ARRIBA	frameshift	4	1	low	[SELFIE,INTRACHROMOSOMAL[chr10:0.17Mb]],duplication/non-canonical_splicing	CNNM2	NA	CNNM2	NA	NA	NA	NA	NA	NA
7:137463489	7:137609609	DGKI--DGKI	BS_044XZ8ST	ARRIBA	frameshift	9	0	low	[SELFIE,INTRACHROMOSOMAL[chr7:0.47Mb]],duplication/non-canonical_splicing	DGKI	NA	DGKI	NA	NA	NA	NA	NA	NA
22:31495983	17:27212658	EIF4ENIF1--AC069061.4(128622)/AC129926.1(25201)	BS_044XZ8ST	ARRIBA	other	2	2	medium	[],translocation	EIF4ENIF1	NA	AC069061.4	AC129926.1	NA	NA	NA	NA	NA
3:55683794	3:55992250	ERC2--ERC2	BS_044XZ8ST	ARRIBA	in-frame	20	3	low	[SELFIE,INTRACHROMOSOMAL[chr3:0.96Mb]],duplication/non-canonical_splicing	ERC2	NA	ERC2	NA	Oncogene	Oncogene	NA	NA	NA
1:74492266	1:74439490	FPGT-TNNI3K--FPGT-TNNI3K	BS_044XZ8ST	ARRIBA	frameshift	3	1	low	[SELFIE,INTRACHROMOSOMAL[chr1:0.35Mb]],duplication/non-canonical_splicing	FPGT-TNNI3K	NA	FPGT-TNNI3K	NA	Kinase	Kinase	NA	NA	NA
6:146399699	6:146398769	GRM1--GRM1	BS_044XZ8ST	ARRIBA	frameshift	5	0	low	[SELFIE,INTRACHROMOSOMAL[chr6:0.41Mb]],duplication/non-canonical_splicing	GRM1	NA	GRM1	NA	NA	NA	NA	NA	NA
X:72462004	X:72573724	HDAC8--HDAC8(621)/PHKA1(5090)	BS_044XZ8ST	ARRIBA	frameshift	5	0	high	[],duplication	HDAC8	NA	HDAC8	PHKA1	NA	NA	NA	NA	NA
1:211018864	1:211090690	KCNH1--AL590132.1	BS_044XZ8ST	ARRIBA	frameshift	9	1	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211018864	1:211082898	KCNH1--AL590132.1	BS_044XZ8ST	ARRIBA	frameshift	3	0	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211018783	1:211019256	KCNH1--AL590132.1	BS_044XZ8ST	ARRIBA	in-frame	2	0	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211018783	1:211090690	KCNH1--AL590132.1	BS_044XZ8ST	ARRIBA	frameshift	3	1	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211018864	1:211019256	KCNH1--AL590132.1	BS_044XZ8ST	ARRIBA	in-frame	2	0	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211018783	1:211082898	KCNH1--AL590132.1	BS_044XZ8ST	ARRIBA	frameshift	2	1	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211082780	1:211090690	KCNH1--AL590132.1	BS_044XZ8ST	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211103496	1:211107377	KCNH1--AL590132.1	BS_044XZ8ST	ARRIBA	in-frame	1	0	low	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211082780	1:211107377	KCNH1--AL590132.1	BS_044XZ8ST	ARRIBA	frameshift	7	2	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:210919640	1:210920069	KCNH1--AL590132.1	BS_044XZ8ST	ARRIBA	frameshift	3	1	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211090562	1:211107377	KCNH1--AL590132.1	BS_044XZ8ST	ARRIBA	in-frame	1	0	low	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211018864	1:211090690	KCNH1--KCNH1	BS_044XZ8ST	ARRIBA	frameshift	9	1	low	[SELFIE,INTRACHROMOSOMAL[chr1:0.46Mb]],duplication/non-canonical_splicing	KCNH1	NA	KCNH1	NA	Oncogene	Oncogene	NA	NA	NA
2:162504443	2:162518158	KCNH7--KCNH7	BS_044XZ8ST	ARRIBA	frameshift	6	0	low	[SELFIE,INTRACHROMOSOMAL[chr2:0.47Mb]],duplication/non-canonical_splicing	KCNH7	NA	KCNH7	NA	NA	NA	NA	NA	NA
3:178801793	3:178921910	KCNMB2-AS1--KCNMB2-AS1(61505)/ZMAT3(95313)	BS_044XZ8ST	ARRIBA	other	4	2	high	[],duplication	KCNMB2-AS1	NA	KCNMB2-AS1	ZMAT3	NA	NA	NA	NA	NA
2:7985467	2:8324684	LINC00298--LINC00299	BS_044XZ8ST	ARRIBA	other	1	3	high	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr2:0.27Mb]],duplication	LINC00298	NA	LINC00299	NA	NA	NA	NA	NA	NA
2:8287338	2:8392968	LINC00299--LINC00299(9347)/AC011747.2(150624)	BS_044XZ8ST	ARRIBA	other	7	3	high	[],duplication	LINC00299	NA	LINC00299	AC011747.2	NA	NA	NA	NA	NA
13:101345301	13:101399165	NALCN--NALCN	BS_044XZ8ST	ARRIBA	frameshift	10	0	low	[SELFIE,INTRACHROMOSOMAL[chr13:0.36Mb]],duplication/non-canonical_splicing	NALCN	NA	NALCN	NA	NA	NA	NA	NA	NA
11:20960560	11:20937786	NELL1--NELL1	BS_044XZ8ST	ARRIBA	in-frame	3	0	low	[SELFIE,INTRACHROMOSOMAL[chr11:0.91Mb]],duplication/non-canonical_splicing	NELL1	NA	NELL1	NA	NA	NA	NA	NA	NA
9:131192292	9:131124824	NUP214--AIF1L(1672)/NUP214(737)	BS_044XZ8ST	ARRIBA	frameshift	1	0	low	[],duplication	NUP214	NA	AIF1L	NUP214	CosmicCensus, Oncogene	NA	NA	CosmicCensus, Oncogene	NA
13:19726605	13:19835689	PSPC1--ZMYM5	BS_044XZ8ST	ARRIBA	frameshift	1	2	high	[FA_CancerSupp,ChimerSeq,CCLE,INTRACHROMOSOMAL[chr13:0.04Mb],LOCAL_REARRANGEMENT:-:[40463]],duplication	PSPC1	NA	ZMYM5	NA	NA	NA	NA	NA	NA
13:19772242	13:19835689	PSPC1--ZMYM5	BS_044XZ8ST	ARRIBA	frameshift	1	0	low	[FA_CancerSupp,ChimerSeq,CCLE,INTRACHROMOSOMAL[chr13:0.04Mb],LOCAL_REARRANGEMENT:-:[40463]],duplication	PSPC1	NA	ZMYM5	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	RRN3P2--ANK2	BS_044XZ8ST	ARRIBA	other	61	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	RRN3P2	NA	ANK2	NA	NA	NA	NA	NA	NA
12:103965852	12:125316602	TDG--TMEM132B	BS_044XZ8ST	ARRIBA	other	3	0	medium	[INTRACHROMOSOMAL[chr12:21.20Mb]],inversion/3'-3'	TDG	NA	TMEM132B	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.3--ANK2	BS_052PZFMK	ARRIBA	other	3	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_052PZFMK	ARRIBA	other	3	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
5:176040847	5:177795327	AC139491.3--AC140125.2(931)/AC140125.1(5877)	BS_052PZFMK	ARRIBA	other	3	0	medium	[],inversion	AC139491.3	NA	AC140125.2	AC140125.1	NA	NA	NA	NA	NA
17:37330173	17:37519071	ACACA--SYNRG	BS_052PZFMK	ARRIBA	frameshift	5	1	high	[CCLE,INTRACHROMOSOMAL[chr17:0.11Mb]],duplication	ACACA	NA	SYNRG	NA	NA	NA	NA	NA	NA
14:28720865	14:28738844	AL121766.1(47138)/FOXG1-AS1(8218)--FOXG1-AS1	BS_052PZFMK	ARRIBA	other	2	0	low	[],duplication	AL121766.1	FOXG1-AS1	FOXG1-AS1	NA	NA	NA	NA	NA	NA
9:38471933	9:38426650	AL390726.6--IGFBPL1(2203)/AL390726.6(7046)	BS_052PZFMK	ARRIBA	other	16	1	high	[],duplication	AL390726.6	NA	IGFBPL1	AL390726.6	NA	TumorSuppressorGene	NA	NA	NA
21:10464976	21:10454134	BAGE2--BAGE2	BS_052PZFMK	ARRIBA	other	5	0	low	[SELFIE,INTRACHROMOSOMAL[chr21:0.10Mb]],duplication/non-canonical_splicing	BAGE2	NA	BAGE2	NA	NA	NA	NA	NA	NA
6:22400643	6:22349229	CASC15(32315)/HDGFL1(168850)--CASC15	BS_052PZFMK	ARRIBA	other	5	1	high	[],duplication	CASC15	HDGFL1	CASC15	NA	NA	NA	NA	NA	NA
7:136869418	7:140007091	CHRM2--TBXAS1	BS_052PZFMK	ARRIBA	other	2	0	high	[INTRACHROMOSOMAL[chr7:2.76Mb]],deletion	CHRM2	NA	TBXAS1	NA	NA	NA	NA	NA	NA
5:78632264	5:79717519	LHFPL2--CMYA5	BS_052PZFMK	ARRIBA	other	5	4	high	[INTRACHROMOSOMAL[chr5:0.92Mb]],duplication/5'-5'	LHFPL2	NA	CMYA5	NA	NA	NA	NA	NA	NA
2:6301743	2:6314946	LINC01105(300468)/AC017053.1(11211)--AC017053.1	BS_052PZFMK	ARRIBA	other	12	1	high	[],duplication	LINC01105	AC017053.1	AC017053.1	NA	NA	NA	NA	NA	NA
16:69566374	16:69447150	NFAT5--CYB5B	BS_052PZFMK	ARRIBA	frameshift	12	2	high	[ChimerSeq,CCLE,FA_CancerSupp,INTRACHROMOSOMAL[chr16:0.10Mb],LOCAL_REARRANGEMENT:+:[98828]],duplication	NFAT5	NA	CYB5B	NA	Oncogene, TranscriptionFactor	NA	NA	NA	NA
16:69568548	16:69447150	NFAT5--CYB5B	BS_052PZFMK	ARRIBA	frameshift	7	3	high	[ChimerSeq,CCLE,FA_CancerSupp,INTRACHROMOSOMAL[chr16:0.10Mb],LOCAL_REARRANGEMENT:+:[98828]],duplication	NFAT5	NA	CYB5B	NA	Oncogene, TranscriptionFactor	NA	NA	NA	NA
16:69566374	16:69447150	NFAT5--CYB5B	BS_052PZFMK	STARFUSION	frameshift	12	3	NA	[ChimerSeq,CCLE,FA_CancerSupp,INTRACHROMOSOMAL[chr16:0.10Mb],LOCAL_REARRANGEMENT:+:[98828]]	NFAT5	NA	CYB5B	NA	Oncogene, TranscriptionFactor	NA	NA	NA	NA
16:69568548	16:69447150	NFAT5--CYB5B	BS_052PZFMK	STARFUSION	frameshift	7	3	NA	[ChimerSeq,CCLE,FA_CancerSupp,INTRACHROMOSOMAL[chr16:0.10Mb],LOCAL_REARRANGEMENT:+:[98828]]	NFAT5	NA	CYB5B	NA	Oncogene, TranscriptionFactor	NA	NA	NA	NA
16:29082041	4:113174416	RRN3P2--ANK2	BS_052PZFMK	ARRIBA	other	3	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	RRN3P2	NA	ANK2	NA	NA	NA	NA	NA	NA
5:155870424	5:155854549	SGCD--RNA5SP199(9021)/SGCD(15795)	BS_052PZFMK	ARRIBA	other	9	1	high	[],duplication	SGCD	NA	RNA5SP199	SGCD	NA	NA	NA	NA	NA
6:157323412	X:103084883	TMEM242--NXF3	BS_052PZFMK	ARRIBA	in-frame	4	0	high	[INTERCHROMOSOMAL[chr6--chrX]],translocation	TMEM242	NA	NXF3	NA	NA	NA	NA	NA	NA
6:157323412	X:103117788	TMEM242--NXF3(24663)/RPSAP59(88222)	BS_052PZFMK	ARRIBA	frameshift	3	1	high	[],translocation	TMEM242	NA	NXF3	RPSAP59	NA	NA	NA	NA	NA
1:155178598	1:155115298	TRIM46--EFNA3(27760)/Y_RNA(5192)	BS_052PZFMK	ARRIBA	frameshift	9	0	medium	[],duplication	TRIM46	NA	EFNA3	Y_RNA	NA	NA	NA	NA	NA
7:139231952	2:165295773	UBN2--SCN2A	BS_052PZFMK	ARRIBA	frameshift	2	0	high	[INTERCHROMOSOMAL[chr7--chr2]],translocation	UBN2	NA	SCN2A	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.3--ANK2	BS_063ERW0R	ARRIBA	other	13	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_063ERW0R	ARRIBA	other	13	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
16:14932796	16:14766447	AC138932.1--AC136443.2	BS_063ERW0R	ARRIBA	other	12	0	low	[INTRACHROMOSOMAL[chr16:0.14Mb]],duplication/5'-5'	AC138932.1	NA	AC136443.2	NA	NA	NA	NA	NA	NA
13:25774959	13:25769046	ATP8A2--ATP8A2	BS_063ERW0R	ARRIBA	frameshift	9	0	low	[SELFIE,INTRACHROMOSOMAL[chr13:0.65Mb]],duplication/non-canonical_splicing	ATP8A2	NA	ATP8A2	NA	NA	NA	NA	NA	NA
7:29181290	7:29186547	CPVL--CPVL	BS_063ERW0R	ARRIBA	other	20	3	low	[SELFIE,INTRACHROMOSOMAL[chr7:0.20Mb]],duplication/non-canonical_splicing	CPVL	NA	CPVL	NA	NA	NA	NA	NA	NA
2:26928323	2:26924887	DPYSL5--DPYSL5	BS_063ERW0R	ARRIBA	in-frame	5	1	low	[SELFIE,INTRACHROMOSOMAL[chr2:0.10Mb]],duplication/non-canonical_splicing	DPYSL5	NA	DPYSL5	NA	NA	NA	NA	NA	NA
3:55683794	3:55992250	ERC2--ERC2	BS_063ERW0R	ARRIBA	in-frame	7	1	low	[SELFIE,INTRACHROMOSOMAL[chr3:0.96Mb]],duplication/non-canonical_splicing	ERC2	NA	ERC2	NA	Oncogene	Oncogene	NA	NA	NA
8:138151194	8:138153216	FAM135B--FAM135B	BS_063ERW0R	ARRIBA	frameshift	3	0	low	[SELFIE,INTRACHROMOSOMAL[chr8:0.37Mb]],duplication/non-canonical_splicing	FAM135B	NA	FAM135B	NA	CosmicCensus	CosmicCensus	NA	NA	NA
4:93238490	4:93084995	GRID2--GRID2	BS_063ERW0R	ARRIBA	frameshift	13	2	low	[SELFIE,INTRACHROMOSOMAL[chr4:1.51Mb]],duplication/non-canonical_splicing	GRID2	NA	GRID2	NA	NA	NA	NA	NA	NA
