FusionName	Sample	zscore_Gene1A	zscore_Gene1B	zscore_Gene2A	zscore_Gene2B	note_expression_Gene1A	note_expression_Gene1B	note_expression_Gene2A	note_expression_Gene2B	LeftBreakpoint	RightBreakpoint	Caller	Fusion_Type	JunctionReadCount	SpanningFragCount	Confidence	annots	Gene1A	Gene2A	Gene1B	Gene2B	Gene1A_anno	Gene1B_anno	Gene2A_anno	Gene2B_anno	Fusion_anno
ABR--AC134669.2	BS_6JHXXVR7	-1.26404565805495	NA	NA	NA	no change	NA	NA	NA	17:1083520	17:31307959	ARRIBA	frameshift	1	4	high	[INTRACHROMOSOMAL[chr17:30.08Mb]],duplication	ABR	NA	AC134669.2	NA	Oncogene	NA	NA	NA	NA
ABR--AC134669.2	BS_6JHXXVR7	-1.26404565805495	NA	NA	NA	no change	NA	NA	NA	17:1091665	17:31305630	ARRIBA	frameshift	1	1	medium	[INTRACHROMOSOMAL[chr17:30.08Mb]],duplication	ABR	NA	AC134669.2	NA	Oncogene	NA	NA	NA	NA
ABR--AC134669.2	BS_KE56MMY0	-1.29086608460143	NA	NA	NA	no change	NA	NA	NA	17:1083520	17:31305630	ARRIBA	frameshift	2	0	low	[INTRACHROMOSOMAL[chr17:30.08Mb]],duplication	ABR	NA	AC134669.2	NA	Oncogene	NA	NA	NA	NA
ABR--ANKS1B	BS_ZJZXDPTP	0.218408197302932	-1.72187031122531	NA	NA	no change	no change	NA	NA	17:1125183	12:98832136	ARRIBA	in-frame	7	0	high	[INTERCHROMOSOMAL[chr17--chr12]],translocation	ABR	NA	ANKS1B	NA	Oncogene	NA	NA	NA	NA
ABR--EVI2B	BS_6JHXXVR7	-1.26404565805495	1.99229127384418	NA	NA	no change	no change	NA	NA	17:1083520	17:31305630	ARRIBA	frameshift	14	4	high	[INTRACHROMOSOMAL[chr17:30.07Mb]],duplication	ABR	NA	EVI2B	NA	Oncogene	NA	NA	NA	NA
ABR--EVI2B	BS_6JHXXVR7	-1.26404565805495	1.99229127384418	NA	NA	no change	no change	NA	NA	17:1083520	17:31307959	ARRIBA	frameshift	1	4	high	[INTRACHROMOSOMAL[chr17:30.07Mb]],duplication	ABR	NA	EVI2B	NA	Oncogene	NA	NA	NA	NA
ABR--EVI2B	BS_6JHXXVR7	-1.26404565805495	1.99229127384418	NA	NA	no change	no change	NA	NA	17:1091665	17:31305630	ARRIBA	frameshift	1	1	medium	[INTRACHROMOSOMAL[chr17:30.07Mb]],duplication	ABR	NA	EVI2B	NA	Oncogene	NA	NA	NA	NA
ABR--EVI2B	BS_KE56MMY0	-1.29086608460143	1.76862343670827	NA	NA	no change	no change	NA	NA	17:1083520	17:31305630	ARRIBA	frameshift	2	0	low	[INTRACHROMOSOMAL[chr17:30.07Mb]],duplication	ABR	NA	EVI2B	NA	Oncogene	NA	NA	NA	NA
ABR--WASF3	BS_QWTE1CWR	0.214354884401455	-1.93857275590648	NA	NA	no change	no change	NA	NA	17:1067077	13:26685688	ARRIBA	frameshift	112	20	high	[INTERCHROMOSOMAL[chr17--chr13]],translocation	ABR	NA	WASF3	NA	Oncogene	NA	NA	NA	NA
ABR--WASF3	BS_WKESC3XN	0.283117959223922	-2.14371013331988	NA	NA	no change	differentially expressed	NA	NA	17:1067077	13:26685688	ARRIBA	frameshift	27	6	high	[INTERCHROMOSOMAL[chr17--chr13]],translocation	ABR	NA	WASF3	NA	Oncogene	NA	NA	NA	NA
ABR--ZZEF1	BS_M0QYNVK8	0.0130591180460454	2.21125162415515	NA	NA	no change	differentially expressed	NA	NA	17:1050050	17:4124051	ARRIBA	in-frame	32	2	high	[INTRACHROMOSOMAL[chr17:2.78Mb]],duplication	ABR	NA	ZZEF1	NA	Oncogene	NA	NA	NA	NA
ABRAXAS2--AC116407.2	BS_KE56MMY0	NA	NA	NA	NA	NA	NA	NA	NA	10:124806921	17:32127460	ARRIBA	frameshift	3	0	medium	[INTERCHROMOSOMAL[chr10--chr17]],translocation	ABRAXAS2	NA	AC116407.2	NA	NA	NA	NA	NA	NA
ABTB2--AP002791.1(164903)/AP003028.1(246170)	BS_G23JJAZY	1.87927266881078	NA	NA	NA	no change	NA	NA	NA	11:34159296	11:91548192	ARRIBA	frameshift	9	0	high	[],duplication	ABTB2	NA	AP002791.1	AP003028.1	Oncogene	NA	NA	NA	NA
AC002127.2--EEF1A1P28(41023)/AC002127.2(29192)	BS_VA5T4KAA	7.70544848589329	107.723709053583	NA	7.70544848589329	differentially expressed	differentially expressed	NA	differentially expressed	7:88742077	7:88681439	ARRIBA	other	4	1	high	[],duplication	AC002127.2	NA	EEF1A1P28	AC002127.2	NA	NA	NA	NA	NA
AC002463.1--PCOLCE	BS_84XCR9GG	NA	0.763169802953447	NA	NA	NA	no change	NA	NA	7:112635922	7:100605123	ARRIBA	other	2	0	medium	[INTRACHROMOSOMAL[chr7:12.01Mb]],duplication	AC002463.1	NA	PCOLCE	NA	NA	NA	NA	NA	NA
AC002472.2--AC002472.3	BS_52MPKTJH	NA	NA	NA	NA	NA	NA	NA	NA	22:21008779	22:21013184	ARRIBA	other	2	0	low	[INTRACHROMOSOMAL[chr22:0.00Mb],LOCAL_REARRANGEMENT:-:[1931]],duplication	AC002472.2	NA	AC002472.3	NA	NA	NA	NA	NA	NA
AC002472.2--AC002472.3	BS_7BTZQKYY	NA	NA	NA	NA	NA	NA	NA	NA	22:21008779	22:21013184	ARRIBA	other	10	0	low	[INTRACHROMOSOMAL[chr22:0.00Mb],LOCAL_REARRANGEMENT:-:[1931]],duplication	AC002472.2	NA	AC002472.3	NA	NA	NA	NA	NA	NA
AC002472.2--AC002472.3	BS_B741RZY9	NA	NA	NA	NA	NA	NA	NA	NA	22:21008779	22:21013184	ARRIBA	other	2	0	low	[INTRACHROMOSOMAL[chr22:0.00Mb],LOCAL_REARRANGEMENT:-:[1931]],duplication	AC002472.2	NA	AC002472.3	NA	NA	NA	NA	NA	NA
AC002472.2--AC002472.3	BS_K3ER45RV	NA	NA	NA	NA	NA	NA	NA	NA	22:21008779	22:21013184	ARRIBA	other	3	0	low	[INTRACHROMOSOMAL[chr22:0.00Mb],LOCAL_REARRANGEMENT:-:[1931]],duplication	AC002472.2	NA	AC002472.3	NA	NA	NA	NA	NA	NA
AC003035.1--AC003035.1(14584)/GEMIN8(4875)	BS_7BTZQKYY	NA	NA	NA	1.7552942895088	NA	NA	NA	no change	X:13988690	X:14003404	ARRIBA	other	5	1	medium	[],duplication	AC003035.1	NA	AC003035.1	GEMIN8	NA	NA	NA	NA	NA
AC003991.2--ADAM22	BS_84XCR9GG	NA	4.43436689682674	NA	NA	NA	differentially expressed	NA	NA	7:88219224	7:88181505	ARRIBA	other	23	3	medium	[INTRACHROMOSOMAL[chr7:0.01Mb],LOCAL_REARRANGEMENT:+:[13771]],duplication	AC003991.2	NA	ADAM22	NA	NA	NA	NA	NA	NA
AC004014.1(18335)/BUB3P1(23030)--TRPC4	BS_JXF8A2A6	NA	11.6424653463938	2.31026451075757	NA	NA	differentially expressed	differentially expressed	NA	7:108971001	13:37783360	ARRIBA	other	4	0	medium	[],translocation	AC004014.1	BUB3P1	TRPC4	NA	NA	NA	NA	NA	NA
AC004080.6--LRRC61	BS_Z1A875MW	NA	0.694004947604725	NA	NA	NA	no change	NA	NA	7:27140083	7:150325841	ARRIBA	other	3	0	high	[INTRACHROMOSOMAL[chr7:123.17Mb]],inversion	AC004080.6	NA	LRRC61	NA	NA	NA	NA	NA	NA
AC004080.6--LRRC61	BS_Z1A875MW	NA	0.694004947604725	NA	NA	NA	no change	NA	NA	7:27140083	7:150336718	ARRIBA	other	1	0	low	[INTRACHROMOSOMAL[chr7:123.17Mb]],inversion	AC004080.6	NA	LRRC61	NA	NA	NA	NA	NA	NA
AC004543.1--TMEM196(37647)/AC004543.1(2440)	BS_4W68NV3M	NA	0.603001600929233	NA	NA	NA	no change	NA	NA	7:19814346	7:19811245	ARRIBA	other	20	1	medium	[],duplication	AC004543.1	NA	TMEM196	AC004543.1	NA	NA	NA	NA	NA
AC004656.1--PDK3	BS_N6NE6B3W	NA	3.32611980314151	NA	NA	NA	differentially expressed	NA	NA	X:24546477	X:24494742	ARRIBA	other	3	0	medium	[INTRACHROMOSOMAL[chrX:0.01Mb],LOCAL_REARRANGEMENT:+:[5679]],duplication	AC004656.1	NA	PDK3	NA	NA	NA	NA	NA	NA
AC004691.2--LINC01422	BS_70FFPA51	NA	2.79496787797483	NA	NA	NA	differentially expressed	NA	NA	7:30882993	22:26906578	ARRIBA	other	6	1	high	[INTERCHROMOSOMAL[chr7--chr22]],translocation	AC004691.2	NA	LINC01422	NA	NA	NA	NA	NA	NA
AC004691.2--LINC01422	BS_70FFPA51	NA	2.79496787797483	NA	NA	NA	differentially expressed	NA	NA	7:30882993	22:26920377	ARRIBA	other	4	1	high	[INTERCHROMOSOMAL[chr7--chr22]],translocation	AC004691.2	NA	LINC01422	NA	NA	NA	NA	NA	NA
AC004803.1--WNT5B(7859)/MIR3649(5213)	BS_W644VEVE	NA	7.93034064068299	NA	NA	NA	differentially expressed	NA	NA	12:989809	12:1655102	ARRIBA	other	24	0	high	[],duplication	AC004803.1	NA	WNT5B	MIR3649	NA	NA	NA	NA	NA
AC004828.1--DPF3	BS_52MPKTJH	NA	4.04538485303356	NA	NA	NA	differentially expressed	NA	NA	14:72594327	14:72619984	ARRIBA	other	2	0	low	[INTRACHROMOSOMAL[chr14:0.02Mb],LOCAL_REARRANGEMENT:-:[24171]],duplication	AC004828.1	NA	DPF3	NA	NA	TranscriptionFactor	NA	NA	NA
AC004828.1--DPF3	BS_7FWZ518S	NA	2.28139634364995	NA	NA	NA	differentially expressed	NA	NA	14:72594327	14:72619984	ARRIBA	other	3	0	medium	[INTRACHROMOSOMAL[chr14:0.02Mb],LOCAL_REARRANGEMENT:-:[24171]],duplication	AC004828.1	NA	DPF3	NA	NA	TranscriptionFactor	NA	NA	NA
AC004828.1--DPF3	BS_81SP2HX4	NA	2.85232507589084	NA	NA	NA	differentially expressed	NA	NA	14:72594327	14:72619984	ARRIBA	other	2	1	medium	[INTRACHROMOSOMAL[chr14:0.02Mb],LOCAL_REARRANGEMENT:-:[24171]],duplication	AC004828.1	NA	DPF3	NA	NA	TranscriptionFactor	NA	NA	NA
AC004828.1--DPF3	BS_FEPRNEXX	NA	3.36468317424977	NA	NA	NA	differentially expressed	NA	NA	14:72594327	14:72619984	ARRIBA	other	5	0	medium	[INTRACHROMOSOMAL[chr14:0.02Mb],LOCAL_REARRANGEMENT:-:[24171]],duplication	AC004828.1	NA	DPF3	NA	NA	TranscriptionFactor	NA	NA	NA
AC004828.1--DPF3	BS_GS1KR5PK	NA	2.43112932831072	NA	NA	NA	differentially expressed	NA	NA	14:72594327	14:72619984	ARRIBA	other	2	1	medium	[INTRACHROMOSOMAL[chr14:0.02Mb],LOCAL_REARRANGEMENT:-:[24171]],duplication	AC004828.1	NA	DPF3	NA	NA	TranscriptionFactor	NA	NA	NA
AC004828.1--DPF3	BS_N6NE6B3W	NA	3.38125134237806	NA	NA	NA	differentially expressed	NA	NA	14:72594327	14:72619984	ARRIBA	other	15	0	high	[INTRACHROMOSOMAL[chr14:0.02Mb],LOCAL_REARRANGEMENT:-:[24171]],duplication	AC004828.1	NA	DPF3	NA	NA	TranscriptionFactor	NA	NA	NA
AC004828.1--DPF3	BS_N6NE6B3W	NA	3.38125134237806	NA	NA	NA	differentially expressed	NA	NA	14:72594327	14:72629736	ARRIBA	other	4	0	medium	[INTRACHROMOSOMAL[chr14:0.02Mb],LOCAL_REARRANGEMENT:-:[24171]],duplication	AC004828.1	NA	DPF3	NA	NA	TranscriptionFactor	NA	NA	NA
AC004828.1--DPF3	BS_SFKZSJN1	NA	2.72826697569547	NA	NA	NA	differentially expressed	NA	NA	14:72594327	14:72619984	ARRIBA	other	3	0	medium	[INTRACHROMOSOMAL[chr14:0.02Mb],LOCAL_REARRANGEMENT:-:[24171]],duplication	AC004828.1	NA	DPF3	NA	NA	TranscriptionFactor	NA	NA	NA
AC004828.1--DPF3	BS_SFKZSJN1	NA	2.72826697569547	NA	NA	NA	differentially expressed	NA	NA	14:72594327	14:72629736	ARRIBA	other	1	0	low	[INTRACHROMOSOMAL[chr14:0.02Mb],LOCAL_REARRANGEMENT:-:[24171]],duplication	AC004828.1	NA	DPF3	NA	NA	TranscriptionFactor	NA	NA	NA
AC004828.1--DPF3	BS_ZRM0W01M	NA	3.04511151069787	NA	NA	NA	differentially expressed	NA	NA	14:72594327	14:72619984	ARRIBA	other	3	0	medium	[INTRACHROMOSOMAL[chr14:0.02Mb],LOCAL_REARRANGEMENT:-:[24171]],duplication	AC004828.1	NA	DPF3	NA	NA	TranscriptionFactor	NA	NA	NA
AC004828.1(22772)/DPF3(1399)--DPF3	BS_ZRM0W01M	NA	3.04511151069787	3.04511151069787	NA	NA	differentially expressed	differentially expressed	NA	14:72617897	14:72771893	ARRIBA	other	1	2	high	[],duplication	AC004828.1	DPF3	DPF3	NA	NA	TranscriptionFactor	TranscriptionFactor	NA	NA
AC004852.2--NXPH1	BS_3T6X4BPC	NA	1.19980517461773	NA	NA	NA	no change	NA	NA	7:9189560	7:8751008	ARRIBA	other	2	0	medium	[INTRACHROMOSOMAL[chr7:0.33Mb]],inversion	AC004852.2	NA	NXPH1	NA	NA	NA	NA	NA	NA
AC004852.2--NXPH1	BS_9NJHQE9F	NA	-1.43087518160696	NA	NA	NA	no change	NA	NA	7:9189560	7:8612991	ARRIBA	other	3	0	medium	[INTRACHROMOSOMAL[chr7:0.33Mb]],deletion/5'-5'	AC004852.2	NA	NXPH1	NA	NA	NA	NA	NA	NA
AC004852.2--NXPH1	BS_S1M423AB	NA	-1.29814418099773	NA	NA	NA	no change	NA	NA	7:9189560	7:8612991	ARRIBA	other	4	0	medium	[INTRACHROMOSOMAL[chr7:0.33Mb]],deletion/5'-5'	AC004852.2	NA	NXPH1	NA	NA	NA	NA	NA	NA
AC004852.2--NXPH1	BS_TW8DQH8J	NA	-2.45533275061845	NA	NA	NA	differentially expressed	NA	NA	7:9189560	7:8612991	ARRIBA	other	2	1	high	[INTRACHROMOSOMAL[chr7:0.33Mb]],deletion/5'-5'	AC004852.2	NA	NXPH1	NA	NA	NA	NA	NA	NA
AC005258.1--FKBP8	BS_W97QQYKQ	NA	-0.425679596684973	NA	NA	NA	no change	NA	NA	19:2269744	19:18541995	ARRIBA	in-frame	3	0	medium	[INTRACHROMOSOMAL[chr19:16.19Mb]],inversion	AC005258.1	NA	FKBP8	NA	NA	NA	NA	NA	NA
AC005324.4--FOXO3	BS_BVSW4GTG	NA	2.95024003948143	NA	NA	NA	differentially expressed	NA	NA	17:15701240	6:108561086	ARRIBA	in-frame	5	0	medium	[INTERCHROMOSOMAL[chr17--chr6]],translocation	AC005324.4	NA	FOXO3	NA	NA	TumorSuppressorGene, CosmicCensus, Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
AC005330.1--AC005330.1(826)/MUM1(31039)	BS_Q5WZYWCT	NA	NA	NA	-1.5142360196553	NA	NA	NA	no change	19:1321456	19:1323672	ARRIBA	other	5	2	medium	[],duplication	AC005330.1	NA	AC005330.1	MUM1	NA	NA	NA	NA	NA
AC005330.1--AC005330.1(832)/MUM1(31033)	BS_7BTZQKYY	NA	NA	NA	-0.329088487116721	NA	NA	NA	no change	19:1321456	19:1323678	ARRIBA	other	4	2	medium	[],duplication	AC005330.1	NA	AC005330.1	MUM1	NA	NA	NA	NA	NA
AC005479.2--NPC2	BS_6JHXXVR7	NA	3.38515300901738	NA	NA	NA	differentially expressed	NA	NA	14:74474304	14:74486436	ARRIBA	other	3	0	low	[INTRACHROMOSOMAL[chr14:0.00Mb],LOCAL_REARRANGEMENT:-:[1328]],duplication	AC005479.2	NA	NPC2	NA	NA	NA	NA	NA	NA
AC005532.1--C1GALT1	BS_0BXY0F9N	NA	4.19899753653078	NA	NA	NA	differentially expressed	NA	NA	7:7267442	7:7234303	ARRIBA	other	2	0	low	[INTRACHROMOSOMAL[chr7:0.01Mb],LOCAL_REARRANGEMENT:+:[6503]],duplication	AC005532.1	NA	C1GALT1	NA	NA	NA	NA	NA	NA
AC005532.1--C1GALT1	BS_3F4FQJMR	NA	5.38432437170609	NA	NA	NA	differentially expressed	NA	NA	7:7267442	7:7234303	ARRIBA	other	1	1	low	[INTRACHROMOSOMAL[chr7:0.01Mb],LOCAL_REARRANGEMENT:+:[6503]],duplication	AC005532.1	NA	C1GALT1	NA	NA	NA	NA	NA	NA
AC005532.1--C1GALT1	BS_4W68NV3M	NA	2.89690761990851	NA	NA	NA	differentially expressed	NA	NA	7:7267401	7:7234304	ARRIBA	other	2	1	high	[INTRACHROMOSOMAL[chr7:0.01Mb],LOCAL_REARRANGEMENT:+:[6503]],duplication	AC005532.1	NA	C1GALT1	NA	NA	NA	NA	NA	NA
AC005532.1--C1GALT1	BS_6T4JGBGY	NA	5.13593683899405	NA	NA	NA	differentially expressed	NA	NA	7:7271844	7:7234303	ARRIBA	other	9	1	high	[INTRACHROMOSOMAL[chr7:0.01Mb],LOCAL_REARRANGEMENT:+:[6503]],duplication	AC005532.1	NA	C1GALT1	NA	NA	NA	NA	NA	NA
AC005532.1--C1GALT1	BS_6T4JGBGY	NA	5.13593683899405	NA	NA	NA	differentially expressed	NA	NA	7:7267442	7:7234303	ARRIBA	other	3	0	low	[INTRACHROMOSOMAL[chr7:0.01Mb],LOCAL_REARRANGEMENT:+:[6503]],duplication	AC005532.1	NA	C1GALT1	NA	NA	NA	NA	NA	NA
AC005532.1--C1GALT1	BS_7BTZQKYY	NA	4.47103930438144	NA	NA	NA	differentially expressed	NA	NA	7:7271844	7:7234303	ARRIBA	other	2	0	medium	[INTRACHROMOSOMAL[chr7:0.01Mb],LOCAL_REARRANGEMENT:+:[6503]],duplication	AC005532.1	NA	C1GALT1	NA	NA	NA	NA	NA	NA
AC005532.1--C1GALT1	BS_7BTZQKYY	NA	4.47103930438144	NA	NA	NA	differentially expressed	NA	NA	7:7271844	7:7238255	ARRIBA	other	1	0	low	[INTRACHROMOSOMAL[chr7:0.01Mb],LOCAL_REARRANGEMENT:+:[6503]],duplication	AC005532.1	NA	C1GALT1	NA	NA	NA	NA	NA	NA
AC005532.1--C1GALT1	BS_7BTZQKYY	NA	4.47103930438144	NA	NA	NA	differentially expressed	NA	NA	7:7267442	7:7234303	ARRIBA	other	1	0	low	[INTRACHROMOSOMAL[chr7:0.01Mb],LOCAL_REARRANGEMENT:+:[6503]],duplication	AC005532.1	NA	C1GALT1	NA	NA	NA	NA	NA	NA
AC005532.1--C1GALT1	BS_KYF0Q0E7	NA	2.29088806319822	NA	NA	NA	differentially expressed	NA	NA	7:7267442	7:7234303	ARRIBA	other	2	0	low	[INTRACHROMOSOMAL[chr7:0.01Mb],LOCAL_REARRANGEMENT:+:[6503]],duplication	AC005532.1	NA	C1GALT1	NA	NA	NA	NA	NA	NA
AC005532.1--C1GALT1	BS_QHS3V0GP	NA	2.02575370951668	NA	NA	NA	differentially expressed	NA	NA	7:7271844	7:7234303	ARRIBA	other	2	0	low	[INTRACHROMOSOMAL[chr7:0.01Mb],LOCAL_REARRANGEMENT:+:[6503]],duplication	AC005532.1	NA	C1GALT1	NA	NA	NA	NA	NA	NA
AC005833.3--AL365500.1(136907)/AL355300.1(53216)	BS_A0DYVX9J	NA	NA	NA	NA	NA	NA	NA	NA	12:4669817	10:36035870	ARRIBA	other	3	1	medium	[],translocation	AC005833.3	NA	AL365500.1	AL355300.1	NA	NA	NA	NA	NA
