Cancer	sampleId	Gene_A	Gene_B	A_chr	B_chr	A_strand	B_strand	Discordant_n	JSR_n	perfectJSR_n	Evalue	Junction_A	Junction_B	tier	frame	id	gene_A_start	gene_A_end	gene_B_start	gene_B_end	phos_A	phos_B	ubiq_A	ubiq_B	WGS	centrality
CESC	ZJ.A8QO.01A	ABCA1	PTGR1	9	9	-1	-1	22	11	9	0.25	107665895	114359712	tier1	CDS-5UTR	35	107543283	107690518	114312002	114362135	0	0	0	0	NA	0.38077
LUSC	39.5028.01A	ABCA1	ZBTB26	9	9	-1	-1	2	1	1	5.8	107645320	125682223	tier3	CDS-5UTR	36	107543283	107690518	125677845	125693779	1	0	0	0	NA	0.38763
LUSC	39.5028.01A	ABCA1	ZBTB6	9	9	-1	-1	6	5	5	0.44	107645320	125674360	tier1	CDS-5UTR	37	107543283	107690518	125670335	125675609	1	0	0	0	NA	0.38585
SKCM	BF.AAP6.01A	ABCA1	ZNF483	9	9	-1	1	47	36	33	0.39	107645320	114338645	tier1	In-frame	38	107543283	107690518	111525159	111577844	1	0	0	0	NA	0.38874
ESCA	VR.A8EU.01A	ABCA12	SGPP2	2	2	-1	1	4	22	19	3.8	215890397	223339287	tier1	In-frame	40	215796266	216003151	223289236	223425667	1	0	0	0	NA	0.34387
LGG	E1.5304.01A	ABCA2	TRIM14	9	9	-1	-1	25	24	19	1.3	139922527	100862446	tier1	In-frame	41	139901686	139923374	100831557	100881494	1	0	0	0	NA	0.36054
LGG	TM.A84I.01A	ABCA3	XRCC6BP1	16	12	-1	1	2	2	2	0.99	2358451	58340778	tier2	Out-of-frame	42	2325877	2390747	58335324	58351052	1	0	0	0	NA	0.35636
BRCA	A2.A3XZ.01A	ABCA5	BCAS3	17	17	-1	1	4	8	7	0.34	67323193	58786580	tier1	5UTR-CDS	43	67240576	67323323	58755172	59470198	0	0	0	0	NA	0.34517
LUSC	6A.AB49.01A	ABCA5	C17orf67	17	17	-1	-1	44	34	31	2.3	67280094	54872541	tier1	Out-of-frame	44	67240576	67323323	54869274	54916134	0	0	0	0	NA	0
CESC	VS.A8QC.01A	ABCA5	MBTD1	17	17	-1	-1	5	7	6	0.15	67290796	49258055	tier1	In-frame	45	67240576	67323323	49254786	49337524	0	0	0	0	NA	0.34481
KIRP	B9.A44B.01A	ABCA7	COL5A3	19	19	1	-1	46	38	9	0.12	1059084	10114821	tier1	In-frame	46	1040102	1065571	10070237	10121147	0	0	0	0	non-validated	0.36765
SARC	FX.A2QS.01A	ABCA9	TANC2	17	17	-1	1	15	11	11	0.78	66978703	61345109	tier1	In-frame	48	66970629	67057136	61086898	61505067	0	1	0	0	non-validated	0.35065
LIHC	BC.A10T.01A	ABCB4	TMEM169	7	2	-1	1	25	19	17	0.5	87076350	216946870	tier1	CDS-5UTR	49	87031013	87109751	216081866	216102783	0	0	0	0	NA	0.34976
BRCA	AC.A3TN.01A	ABCB8	NOS3	7	7	1	1	26	7	7	0.06	150725697	150706018	tier1	Out-of-frame	50	150725510	150744869	150688083	150711676	1	0	0	0	NA	0.3738
LUAD	MP.A4TA.01A	ABCB8	NOS3	7	7	1	1	72	36	27	0.06	150725697	150706018	tier1	Out-of-frame	51	150725510	150744869	150688083	150711676	1	0	0	0	NA	0.3738
BRCA	A7.A13D.01A	ABCB9	EIF2B1	12	12	-1	-1	10	6	6	0.004	123428938	124107308	tier1	In-frame	52	123405498	123466196	123620406	123633766	0	0	0	0	validated	0.36035
HNSC	CR.6482.01A	ABCB9	MPHOSPH9	12	12	-1	-1	3	3	3	1.3	123450834	123651336	tier1	5UTR-CDS	53	123405498	123466196	123636867	123706445	0	0	0	0	non-validated	0.34899
CESC	VS.A8EC.01A	ABCC1	NDE1	16	16	1	1	3	3	2	0.27	16110478	15758593	tier1	CDS-5UTR	54	16043434	16236931	15737124	15820210	1	0	1	0	NA	0.36747
PRAD	KK.A8I7.01A	ABCC1	PRKCB	16	16	1	1	3	4	4	0.044	16184445	23999829	tier1	In-frame	55	16043434	16236931	23847322	24231932	0	1	0	0	NA	0.38354
BRCA	GM.A2DD.01A	ABCC10	PPP2R5D	6	6	1	1	2	1	1	0.55	43401098	42974201	tier3	In-frame	56	43395104	43418168	42952237	42980080	0	1	0	0	NA	0.36693
LIHC	DD.AAEA.01A	ABCC2	CTNNA3	10	10	1	-1	243	303	294	0.05	101544538	67680375	tier1	In-frame	58	99782732	99852192	67679719	69455927	1	0	1	0	NA	0.36402
STAD	BR.8590.01A	ABCC3	ACSF2	17	17	1	1	8	17	16	0.41	48712342	48548389	tier1	In-frame	60	48712138	48769063	48503519	48552206	0	0	0	0	NA	0.34919
KIRC	CW.5584.01A	ABCC3	BCAN	17	1	1	1	8	9	9	0.18	48751019	156627467	tier1	In-frame	61	48712138	48769063	156611182	156629324	0	0	0	0	NA	0.36824
STAD	HU.A4GH.01A	ABCC3	XYLT2	17	17	1	1	3	56	55	0.18	48755580	48435568	tier1	In-frame	62	48712138	48769063	48423453	48440499	0	0	0	0	NA	0.34721
HNSC	CR.6467.01A	ABCC4	ABCB4	13	7	-1	-1	42	28	26	0.84	95829961	87038708	tier1	In-frame	63	95672083	95953687	87031013	87109751	0	0	0	0	validated	0.35507
LUAD	69.7979.01A	ABCC4	COL4A2	13	13	-1	1	31	25	23	1.3	95822786	111077081	tier1	In-frame	65	95672083	95953687	110958159	111165374	0	0	0	0	NA	0.36578
SKCM	DA.A1HW.06A	ABCC4	PTPN4	13	2	-1	1	7	5	4	0.18	95953495	120690000	tier1	In-frame	66	95672083	95953687	119759631	119983818	1	0	1	0	validated	0.37078
BLCA	4Z.AA7R.01A	ABCC4	UGGT2	13	13	-1	-1	16	9	9	3.5	95813443	96454066	tier1	In-frame	67	95672083	95953687	96453834	96705736	0	0	0	0	NA	0.35055
UCS	N8.A56S.01A	ABCC4	UGGT2	13	13	-1	-1	15	2	2	3.5	95953495	96489456	tier1	Out-of-frame	68	95672083	95953687	96453834	96705736	1	0	1	0	NA	0.35055
SKCM	FS.A1ZQ.06A	ABCC5	SPRR4	3	1	-1	1	10	5	5	100	183645118	152944347	tier1	CDS-5UTR	69	183637722	183735803	152970666	152972574	0	0	0	0	NA	0.34452
LAML	AB.2846.03A	ABCC6	C16orf70	16	16	-1	1	2	1	1	0.52	16253339	67165189	tier2	In-frame	70	16243422	16317351	67143915	67182442	0	0	0	0	NA	0
LUSC	66.2756.01A	ABCD3	AK5	1	1	1	1	2	1	1	0.14	94965170	77876666	tier3	In-frame	71	94883933	94984222	77747736	78025651	0	0	0	0	non-validated	0.35871
BLCA	GV.A3QH.01A	ABCD3	ARHGAP29	1	1	1	-1	15	7	7	0.063	94884144	94685948	tier1	Out-of-frame	72	94883933	94984222	94614544	94740624	1	1	1	0	NA	0.37051
PRAD	CH.5764.01A	ABCD3	DPYD	1	1	1	-1	10	8	6	0.16	94956803	97981497	tier1	In-frame	73	94883933	94984222	97543299	98386605	0	0	0	0	NA	0.36018
PAAD	IB.7652.01A	ABCF1	PRR3	6	6	1	1	7	7	7	0.08	30539337	30529611	tier1	In-frame	74	30583828	30609632	30556886	30563723	1	0	1	0	NA	0.36242
LGG	TM.A7CF.01A	ABCF1	SHC2	6	19	1	-1	4	4	3	0.31	30554488	440932	tier1	In-frame	75	30583828	30609632	416587	460996	0	0	0	0	non-validated	0.37403
SARC	DX.A1KY.01A	ABCF2	WDR86	7	7	-1	-1	26	14	14	0.073	150911965	151093282	tier1	CDS-5UTR	76	151207837	151227230	151375909	151410727	0	0	0	0	NA	0.35268
PRAD	G9.6342.01A	ABCF3	PLEKHB2	3	2	1	1	2	3	3	0.4	183911793	131876464	tier3	3UTR-5UTR	77	184186023	184194012	131862420	132111282	0	0	0	0	NA	0.36351
UCEC	B5.A3FB.01A	ABCG1	BACE2	21	21	1	1	28	8	6	0.11	43708422	42598193	tier1	In-frame	78	43619799	43720714	42539728	42648524	0	1	0	0	NA	0.35531
PAAD	3E.AAAY.01A	ABCG1	BTG3	21	21	1	-1	5	2	1	0.64	43646024	18981470	tier3	CDS-5UTR	79	43619799	43720714	17593653	17612947	0	0	0	0	NA	0.35811
LUSC	43.5670.01A	ABCG1	CCDC134	21	22	1	1	4	10	9	0.54	43714770	42204879	tier2	CDS-5UTR	80	43619799	43720714	42196683	42222303	0	0	0	0	non-validated	0.35489
LUSC	43.5670.01A	ABCG1	MEI1	21	22	1	1	2	3	3	2.9	43714770	42195258	tier2	In-frame	81	43619799	43720714	42095503	42195460	0	0	0	0	non-validated	0.35236
LUSC	85.7696.01A	ABHD12	ENTPD6	20	20	-1	1	2	6	5	0.06	25371149	25203474	tier2	Out-of-frame	82	25275379	25371619	25195693	25226729	1	0	0	0	NA	0.35052
COAD	AA.3660.01A	ABHD12	GINS1	20	20	-1	1	5	1	1	0.85	25371149	25422338	tier2	Out-of-frame	83	25275379	25371619	25388363	25433264	1	0	0	0	NA	0.34208
LUSC	77.7142.01A	ABHD12	KIF16B	20	20	-1	-1	6	8	6	1.4	25282855	16509085	tier1	In-frame	84	25275379	25371619	16252749	16554078	0	1	0	0	NA	0.34469
COAD	CM.5860.01A	ABHD12	PPP2R2A	20	8	-1	1	29	22	20	100	25295561	26196406	tier1	In-frame	85	25275379	25371619	26149007	26230196	0	0	0	1	NA	0.36526
BRCA	BH.A1F0.01A	ABHD14B	POC1A	3	3	-1	-1	6	2	2	0.55	52005476	52110001	tier4	Out-of-frame	88	52002526	52017425	52109269	52188706	0	0	0	0	NA	0.32426
BRCA	AC.A8OQ.01A	ABHD2	ACAN	15	15	1	1	3	7	7	2.8	89698765	89398083	tier1	In-frame	92	89631405	89745591	88803443	88875354	0	0	0	0	NA	0.36597
BLCA	GV.A3QI.01A	ABHD2	BIRC6	15	2	1	1	2	4	3	1.4	89745591	32820101	tier3	3UTR-CDS	93	89631405	89745591	32582096	32843966	0	0	0	0	NA	0.36854
ESCA	L5.A893.01A	ABHD3	ANKRD29	18	18	-1	-1	2	8	8	3	19244079	21214113	tier2	Out-of-frame	94	19230858	19284766	21178890	21242849	0	0	0	0	NA	0.35036
KIRC	AS.3777.01A	ABHD6	FLNB	3	3	1	1	5	2	2	0.24	58242432	58104599	tier1	Out-of-frame	95	58223233	58281420	57994127	58157982	0	0	0	0	NA	0.37255
LIHC	DD.A115.01A	ABHD6	FLNB	3	3	1	1	7	11	11	0.24	58242432	58104599	tier1	Out-of-frame	96	58223233	58281420	57994127	58157982	0	0	0	0	NA	0.37255
LIHC	ED.A7XO.01A	ABHD6	FLNB	3	3	1	1	6	10	7	0.24	58223643	58104599	tier1	5UTR-CDS	97	58223233	58281420	57994127	58157982	0	0	0	0	NA	0.37255
BLCA	DK.AA6U.01A	ABHD8	ILKAP	19	2	-1	-1	13	12	10	0.009	17411665	239079665	tier1	In-frame	98	17292131	17310236	239079042	239112370	0	0	0	0	NA	0.36265
SKCM	EB.A82C.01A	ABI1	CUBN	10	10	-1	-1	50	20	19	1.6	27149676	17032514	tier1	Out-of-frame	99	26746593	26861087	16823964	17129831	1	0	0	0	NA	0.37939
LGG	TQ.A7RV.01A	ABI1	PTP4A3	10	8	-1	1	11	8	5	0.86	27112067	142431488	tier1	CDS-5UTR	100	26746593	26861087	141391991	141438356	1	0	0	0	non-validated	0.37364
LGG	TQ.A7RV.02A	ABI1	PTP4A3	10	8	-1	1	11	8	8	0.86	27112067	142431488	tier1	CDS-5UTR	101	26746593	26861087	141391991	141438356	1	0	0	0	non-validated	0.37364
PCPG	S7.A7WO.01A	ABI2	CHMP1A	2	16	1	-1	2	1	1	0.048	204291992	89713739	tier3	NA	102	203328219	203447723	89710839	89724253	0	0	0	0	NA	0.37655
LGG	QH.A6CV.01A	ABI2	HEXIM2	2	17	1	1	9	3	3	0.007	204231767	43240117	tier1	CDS-5UTR	103	203328219	203447723	45160700	45170040	1	0	0	0	NA	0.37419
BRCA	D8.A1J9.01A	ABL1	ADAMTSL2	9	9	1	1	12	7	7	0.26	133589842	136405720	tier1	In-frame	104	133589268	133763062	136397286	136440641	1	1	0	0	NA	0.39172
LAML	AB.2817.03A	ABL1	BCR	9	22	1	1	6	3	3	0.035	133589842	23595986	tier1	In-frame	105	133589268	133763062	23521891	23660224	1	0	0	0	NA	0.39627
LAML	AB.2901.03A	ABL1	BCR	9	22	1	1	8	9	8	0.035	133589842	23634728	tier1	In-frame	106	133589268	133763062	23521891	23660224	1	0	0	0	NA	0.39627
LAML	AB.2941.03A	ABL1	BCR	9	22	1	1	9	8	8	0.035	133589842	23634728	tier1	In-frame	107	133589268	133763062	23521891	23660224	1	0	0	0	NA	0.39627
LUSC	66.2755.01A	ABL1	CCBL1	9	9	1	-1	3	4	4	1.5	133589842	131607690	tier1	CDS-5UTR	108	133589268	133763062	131595221	131644773	1	0	0	0	NA	0.39029
BLCA	DK.A3IL.01A	ABL1	DDX27	9	20	1	1	2	2	1	0.55	133763062	47849303	tier4	NA	109	133589268	133763062	47835832	47860614	0	0	0	0	non-validated	0.39078
HNSC	CV.6950.01A	ABL1	EXOSC2	9	9	1	1	8	7	7	5.2	133589842	133570879	tier1	Out-of-frame	110	133589268	133763062	133569108	133580248	1	1	0	0	NA	0.39031
LIHC	ZS.A9CF.01A	ABL1	FUBP3	9	9	1	1	8	6	6	0.65	133589842	133493184	tier1	Out-of-frame	111	133589268	133763062	130578965	130638352	1	1	0	1	NA	0.3897
LIHC	ZS.A9CF.02A	ABL1	FUBP3	9	9	1	1	20	8	8	0.65	133589842	133493184	tier1	Out-of-frame	112	133589268	133763062	130578965	130638352	1	1	0	1	NA	0.3897
LIHC	CC.5263.01A	ABL1	PRDM12	9	9	1	1	18	18	18	0.043	133589842	133553916	tier1	Out-of-frame	113	133589268	133763062	130664594	130682981	1	0	0	0	NA	0.3924
SARC	DX.A6Z0.01A	ABL1	PTPRN2	9	7	1	-1	2	2	1	0.28	133589842	157475629	tier2	Out-of-frame	114	133589268	133763062	157331750	158380480	1	0	0	0	NA	0.39131
PRAD	ZG.A9LN.01A	ABL1	SLC38A10	9	17	1	-1	2	3	3	0.021	133730483	79246427	tier3	In-frame	115	133589268	133763062	81245000	81295547	1	1	0	0	NA	0.39057
BLCA	K4.A4AC.01A	ABL2	XRRA1	1	11	-1	-1	3	2	1	0.71	179198376	74559507	tier4	Out-of-frame	116	179099327	179229684	74518784	74660245	1	0	0	0	NA	0.38448
UCEC	D1.A3JP.01A	ABLIM1	PDE6B	10	4	-1	1	22	7	6	0.26	116286419	628466	tier1	5UTR-CDS	117	116190872	116444414	619373	664571	0	1	0	0	NA	0.36962
BRCA	AO.A12G.01A	ABLIM1	PTCD2	10	5	-1	1	2	1	1	0.53	116203788	71630845	tier2	Out-of-frame	118	116190872	116444414	71616194	71656052	0	0	0	0	NA	0.36972
BLCA	FD.A3B4.01A	ABLIM2	PPP2R2C	4	4	-1	-1	3	2	2	0.55	8079355	6382821	tier1	Out-of-frame	119	7967039	8160559	6322305	6565327	0	0	0	0	NA	0.35674
CESC	HM.A3JJ.01A	ABLIM3	TRPM8	5	2	1	1	5	5	1	0.92	148521671	234835178	tier2	CDS-5UTR	120	148521046	148640105	234826043	234928166	0	0	0	0	NA	0.35586
STAD	VQ.A8DZ.01A	ABR	BAI1	17	8	-1	1	3	26	24	0.36	953290	143599499	tier1	In-frame	121	906758	1090616	143530791	143626370	0	0	0	0	NA	0.37166
LUAD	44.7662.01A	ABR	CRK	17	17	-1	-1	4	4	4	0.22	994905	1340449	tier1	Out-of-frame	122	906758	1090616	1323983	1359552	1	0	0	0	NA	0.38187
LUSC	66.2769.01A	ABR	GAS7	17	17	-1	-1	10	11	10	0.13	1082961	9923214	tier1	Out-of-frame	123	906758	1090616	9813926	10101868	1	1	0	0	NA	0.36415
BRCA	AN.A0FJ.01A	ABR	KIAA0664	17	17	-1	-1	9	1	1	1	953290	2607858	tier2	CDS-5UTR	124	906758	1090616	2592680	2614927	0	0	0	0	NA	0.35734
LGG	DU.6402.01A	ABR	MAN2B1	17	19	-1	-1	37	24	23	0.18	994905	12776619	tier4	In-frame	125	906758	1090616	12757325	12777556	1	0	0	0	NA	0.35698
TGCT	2G.AAH4.01A	ABR	PITPNA	17	17	-1	-1	13	12	12	2.5	953290	1444934	tier1	In-frame	126	906758	1090616	1421287	1466110	0	0	0	0	NA	0.37004
BRCA	BH.A0AV.01A	ABR	PITPNA	17	17	-1	-1	6	4	4	2.5	973209	1446321	tier1	Out-of-frame	127	906758	1090616	1421287	1466110	0	0	0	0	non-validated	0.37004
BLCA	GU.A42P.01A	ABR	RTN4RL1	17	17	-1	-1	3	2	2	0.18	970317	1841102	tier1	Out-of-frame	128	906758	1090616	1837978	1928178	0	0	0	0	NA	0.35725
LGG	HT.7693.01A	ABR	YWHAE	17	17	-1	-1	58	83	75	1.4	982570	1268352	tier1	In-frame	129	906758	1090616	1247566	1303505	0	0	0	0	NA	0.37576
BRCA	AR.A256.01A	ABTB2	APIP	11	11	-1	-1	2	7	5	0.83	34186233	34916657	tier2	Out-of-frame	130	34172535	34379555	34874641	34938046	0	1	0	0	non-validated	0.35939
STAD	CG.4449.01A	ABTB2	APIP	11	11	-1	-1	2	6	6	0.83	34378248	34916657	tier4	Out-of-frame	131	34172535	34379555	34874641	34938046	0	1	0	0	NA	0.35939
BRCA	AN.A0XU.01A	ABTB2	ATXN3	11	14	-1	-1	2	6	6	0.35	34378248	92563182	tier2	Out-of-frame	132	34172535	34379555	92524896	92572965	0	0	0	0	NA	0.36783
HNSC	BB.A5HY.01A	AC005522.1	ZP3	7	7	1	1	30	183	149	0.004	76093026	76054369	tier1	5UTR-5UTR	142	76361768	76362113	76026835	76071388	0	0	0	0	NA	0.34308
HNSC	UF.A7JK.01A	AC113191.1	ANK1	8	8	1	-1	24	14	12	0.045	42958973	41591587	tier1	In-frame	213	42948658	42978577	41510739	41754280	0	1	0	0	NA	0.37387
ESCA	VR.AA4D.01A	ACAA2	MYO5B	18	18	-1	-1	2	20	15	2.3	47339839	47380017	tier4	Out-of-frame	221	47309869	47340273	47349156	47721451	0	0	0	0	NA	0.368
BRCA	E9.A22D.01A	ACACA	ACCN1	17	17	-1	-1	9	15	13	0.031	35614625	31344702	tier1	Out-of-frame	222	35441923	35766902	31340105	32483551	1	0	0	0	NA	0.37083
BLCA	FJ.A3ZE.01A	ACACA	ADAM9	17	8	-1	1	5	7	3	1.5	35687113	38865405	tier1	Out-of-frame	223	35441923	35766902	38854388	38962663	1	0	1	0	NA	0.3807
SARC	3B.A9HS.01A	ACACA	C12orf26	17	12	-1	1	48	46	38	0.79	35715942	82871060	tier1	5UTR-CDS	224	35441923	35766902	82752276	82873015	0	0	0	0	NA	0
THCA	EM.A1YC.01A	ACACA	C20orf72	17	20	-1	1	3	1	1	0.89	35766352	17968809	tier4	In-frame	225	35441923	35766902	17949556	17971765	1	0	0	0	NA	0
SARC	3B.A9HS.01A	ACACA	GLIPR1L2	17	12	-1	1	222	141	139	3.5	35687113	75816684	tier1	In-frame	226	35441923	35766902	75391070	75432688	1	0	1	0	NA	0.36909
COAD	D5.6929.01A	ACACA	GSDMB	17	17	-1	-1	11	4	2	2.1	35627642	38068750	tier1	Out-of-frame	227	35441923	35766902	38060848	38077313	1	0	1	0	NA	0.36552
BLCA	FJ.A3ZE.01A	ACACA	HTRA4	17	8	-1	1	133	141	135	0.79	35687113	38845455	tier1	In-frame	228	35441923	35766902	38831683	38846181	1	0	1	0	NA	0.37278
ESCA	L5.A4OQ.01A	ACACA	LASP1	17	17	-1	1	14	95	89	1.5	35536201	37034339	tier1	In-frame	229	35441923	35766902	37026256	37078023	0	1	0	0	NA	0.37513
READ	AG.3902.01A	ACACA	MED1	17	17	-1	-1	6	2	2	2.2	35766352	37588269	tier1	In-frame	230	35441923	35766902	37560538	37607521	1	1	0	0	NA	0.37037
PRAD	V1.A8ML.01A	ACACA	MMP28	17	17	-1	-1	18	20	18	0.93	35454765	34106327	tier1	In-frame	231	35441923	35766902	34092876	34122640	0	0	0	0	NA	0.36868
STAD	BR.8483.01A	ACACA	RARA	17	17	-1	1	365	1472	1404	0.11	35687113	38487109	tier1	CDS-5UTR	232	35441923	35766902	38465436	38513895	1	0	1	0	NA	0.3833
LUAD	69.7979.01A	ACACA	SRCIN1	17	17	-1	-1	3	5	5	0.22	35468466	36735044	tier1	In-frame	233	35441923	35766902	36686259	36762183	0	1	0	0	NA	0.36336
LUAD	44.2656.01A	ACACA	SSH2	17	17	-1	-1	2	1	1	3.6	35631084	27982625	tier2	In-frame	234	35441923	35766902	27952956	28257170	1	1	1	0	non-validated	0.37149
BLCA	DK.A2I2.01A	ACACA	TADA2A	17	17	-1	1	6	7	7	2.9	35766352	35783609	tier1	Out-of-frame	235	35441923	35766902	35766965	35838372	1	0	0	0	NA	0.36336
BRCA	3C.AALI.01A	ACACA	TANC2	17	17	-1	1	2	5	2	0.03	35454765	61345109	tier2	Out-of-frame	236	35441923	35766902	61086898	61505067	0	1	0	0	NA	0.37112
