GeneID	GeneSymbol	Alias	Links	Chromosome	Cytoband	Description	GeneType
355	FAS	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	MIM:134637|HGNC:HGNC:11920|Ensembl:ENSG00000026103|HPRD:00609|Vega:OTTHUMG00000018701	10	10q24.1	Fas cell surface death receptor	protein-coding
375	ARF1	-	MIM:103180|HGNC:HGNC:652|Ensembl:ENSG00000143761|HPRD:00054|Vega:OTTHUMG00000037595	1	1q42	ADP-ribosylation factor 1	protein-coding
383	ARG1	-	MIM:608313|HGNC:HGNC:663|Ensembl:ENSG00000118520|HPRD:01947|Vega:OTTHUMG00000015566	6	6q23	arginase 1	protein-coding
387	RHOA	ARH12|ARHA|RHO12|RHOH12	MIM:165390|HGNC:HGNC:667|Ensembl:ENSG00000067560|HPRD:01323|Vega:OTTHUMG00000156838	3	3p21.3	ras homolog family member A	protein-coding
388	RHOB	ARH6|ARHB|MST081|MSTP081|RHOH6	MIM:165370|HGNC:HGNC:668|Ensembl:ENSG00000143878|HPRD:01321|Vega:OTTHUMG00000090755	2	2p24	ras homolog family member B	protein-coding
390	RND3	ARHE|Rho8|RhoE|memB	MIM:602924|HGNC:HGNC:671|Ensembl:ENSG00000115963|HPRD:04233|Vega:OTTHUMG00000131859	2	2q23.3	Rho family GTPase 3	protein-coding
401	PHOX2A	ARIX|CFEOM2|FEOM2|NCAM2|PMX2A	MIM:602753|HGNC:HGNC:691|Ensembl:ENSG00000165462|HPRD:04129|Vega:OTTHUMG00000167899	11	11q13.2	paired-like homeobox 2a	protein-coding
406	ARNTL	BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5	MIM:602550|HGNC:HGNC:701|Ensembl:ENSG00000133794|HPRD:03973|Vega:OTTHUMG00000150623	11	11p15	aryl hydrocarbon receptor nuclear translocator-like	protein-coding
429	ASCL1	ASH1|HASH1|MASH1|bHLHa46	MIM:100790|HGNC:HGNC:738|Ensembl:ENSG00000139352|HPRD:00011|Vega:OTTHUMG00000169967	12	12q23.2	achaete-scute family bHLH transcription factor 1	protein-coding
445	ASS1	ASS|CTLN1	MIM:603470|HGNC:HGNC:758|Ensembl:ENSG00000130707|HPRD:04590|Vega:OTTHUMG00000020806	9	9q34.1	argininosuccinate synthase 1	protein-coding
463	ZFHX3	ATBF1|ATBT|ZNF927	MIM:104155|HGNC:HGNC:777|Ensembl:ENSG00000140836|HPRD:00075|Vega:OTTHUMG00000137599	16	16q22.3	zinc finger homeobox 3	protein-coding
467	ATF3	-	MIM:603148|HGNC:HGNC:785|Ensembl:ENSG00000162772|HPRD:04395|Vega:OTTHUMG00000036747	1	1q32.3	activating transcription factor 3	protein-coding
472	ATM	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	MIM:607585|HGNC:HGNC:795|Ensembl:ENSG00000149311|HPRD:06347|Vega:OTTHUMG00000166480	11	11q22-q23	ATM serine/threonine kinase	protein-coding
545	ATR	FCTCS|FRP1|MEC1|SCKL|SCKL1	MIM:601215|HGNC:HGNC:882|Ensembl:ENSG00000175054|HPRD:08369|Vega:OTTHUMG00000159234	3	3q23	ATR serine/threonine kinase	protein-coding
563	AZGP1	ZA2G|ZAG	MIM:194460|HGNC:HGNC:910|Ensembl:ENSG00000160862|HPRD:01910|Vega:OTTHUMG00000023066	7	7q22.1	"alpha-2-glycoprotein 1, zinc-binding"	protein-coding
580	BARD1	-	MIM:601593|HGNC:HGNC:952|Ensembl:ENSG00000138376|HPRD:03354|Vega:OTTHUMG00000133016	2	2q34-q35	BRCA1 associated RING domain 1	protein-coding
581	BAX	BCL2L4	MIM:600040|HGNC:HGNC:959|Ensembl:ENSG00000087088|HPRD:02498|Vega:OTTHUMG00000160476	19	19q13.3-q13.4	BCL2-associated X protein	protein-coding
613	BCR	ALL|BCR1|CML|D22S11|D22S662|PHL	MIM:151410|HGNC:HGNC:1014|Ensembl:ENSG00000186716|HPRD:01044|Vega:OTTHUMG00000150655	22	22q11.23	breakpoint cluster region	protein-coding
634	CEACAM1	BGP|BGP1|BGPI	MIM:109770|HGNC:HGNC:1814|Ensembl:ENSG00000079385|HPRD:00191|Vega:OTTHUMG00000151078	19	19q13.2	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	protein-coding
638	BIK	BIP1|BP4|NBK	MIM:603392|HGNC:HGNC:1051|Ensembl:ENSG00000100290|HPRD:04547|Vega:OTTHUMG00000150703	22	22q13.31	BCL2-interacting killer (apoptosis-inducing)	protein-coding
639	PRDM1	BLIMP1|PRDI-BF1	MIM:603423|HGNC:HGNC:9346|Ensembl:ENSG00000057657|HPRD:04572|Vega:OTTHUMG00000015299	6	6q21	"PR domain containing 1, with ZNF domain"	protein-coding
641	BLM	BS|RECQ2|RECQL2|RECQL3	MIM:604610|HGNC:HGNC:1058|Ensembl:ENSG00000197299|HPRD:05211|Vega:OTTHUMG00000149834	15	15q26.1	"Bloom syndrome, RecQ helicase-like"	protein-coding
650	BMP2	BDA2|BMP2A	MIM:112261|HGNC:HGNC:1069|Ensembl:ENSG00000125845|HPRD:00206|Vega:OTTHUMG00000031833	20	20p12	bone morphogenetic protein 2	protein-coding
652	BMP4	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME	MIM:112262|HGNC:HGNC:1071|Ensembl:ENSG00000125378|HPRD:00207|Vega:OTTHUMG00000140303	14	14q22-q23	bone morphogenetic protein 4	protein-coding
657	BMPR1A	10q23del|ACVRLK3|ALK3|CD292|SKR5	MIM:601299|HGNC:HGNC:1076|HPRD:03192	10	10q22.3	"bone morphogenetic protein receptor, type IA"	protein-coding
659	BMPR2	BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK	MIM:600799|HGNC:HGNC:1078|Ensembl:ENSG00000204217|HPRD:02880|Vega:OTTHUMG00000133617	2	2q33-q34	"bone morphogenetic protein receptor, type II (serine/threonine kinase)"	protein-coding
665	BNIP3L	BNIP3a|NIX	MIM:605368|HGNC:HGNC:1085|Ensembl:ENSG00000104765|HPRD:07288|Vega:OTTHUMG00000099433	8	8p21	BCL2/adenovirus E1B 19kDa interacting protein 3-like	protein-coding
668	FOXL2	BPES|BPES1|PFRK|PINTO|POF3	MIM:605597|HGNC:HGNC:1092|Ensembl:ENSG00000183770|HPRD:05723|Vega:OTTHUMG00000159889	3	3q23	forkhead box L2	protein-coding
672	BRCA1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	MIM:113705|HGNC:HGNC:1100|Ensembl:ENSG00000012048|HPRD:00218|Vega:OTTHUMG00000157426	17	17q21	"breast cancer 1, early onset"	protein-coding
675	BRCA2	BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11	MIM:600185|HGNC:HGNC:1101|Ensembl:ENSG00000139618|HPRD:02554|Vega:OTTHUMG00000017411	13	13q12.3	"breast cancer 2, early onset"	protein-coding
678	ZFP36L2	BRF2|ERF-2|ERF2|RNF162C|TIS11D	MIM:612053|HGNC:HGNC:1108|Ensembl:ENSG00000152518|HPRD:18319|Vega:OTTHUMG00000128642	2	2p22.3-p21	ZFP36 ring finger protein-like 2	protein-coding
688	KLF5	BTEB2|CKLF|IKLF	MIM:602903|HGNC:HGNC:6349|Ensembl:ENSG00000102554|HPRD:04212|Vega:OTTHUMG00000017074	13	13q22.1	Kruppel-like factor 5 (intestinal)	protein-coding
695	BTK	AGMX1|AT|ATK|BPK|IMD1|PSCTK1|XLA	MIM:300300|HGNC:HGNC:1133|Ensembl:ENSG00000010671|HPRD:02248|Vega:OTTHUMG00000022022	X	Xq21.33-q22	Bruton agammaglobulinemia tyrosine kinase	protein-coding
822	CAPG	AFCP|HEL-S-66|MCP	MIM:153615|HGNC:HGNC:1474|Ensembl:ENSG00000042493|HPRD:01088|Vega:OTTHUMG00000130183	2	2p11.2	"capping protein (actin filament), gelsolin-like"	protein-coding
835	CASP2	CASP-2|ICH1|NEDD-2|NEDD2|PPP1R57	MIM:600639|HGNC:HGNC:1503|Ensembl:ENSG00000106144|HPRD:02800|Vega:OTTHUMG00000023641	7	7q34-q35	"caspase 2, apoptosis-related cysteine peptidase"	protein-coding
838	CASP5	ICE(rel)III|ICEREL-III|ICH-3	MIM:602665|HGNC:HGNC:1506|Ensembl:ENSG00000137757|HPRD:04048|Vega:OTTHUMG00000048073	11	11q22.2-q22.3	"caspase 5, apoptosis-related cysteine peptidase"	protein-coding
841	CASP8	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	MIM:601763|HGNC:HGNC:1509|Ensembl:ENSG00000064012|HPRD:03459|Vega:OTTHUMG00000132821	2	2q33-q34	"caspase 8, apoptosis-related cysteine peptidase"	protein-coding
847	CAT	-	MIM:115500|HGNC:HGNC:1516|Ensembl:ENSG00000121691|HPRD:00282|Vega:OTTHUMG00000044353	11	11p13	catalase	protein-coding
857	CAV1	BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21	MIM:601047|HGNC:HGNC:1527|Ensembl:ENSG00000105974|HPRD:03028|Vega:OTTHUMG00000023413	7	7q31.1	"caveolin 1, caveolae protein, 22kDa"	protein-coding
860	RUNX2	AML3|CBF-alpha-1|CBFA1|CCD|CCD1|CLCD|OSF-2|OSF2|PEA2aA|PEBP2aA	MIM:600211|HGNC:HGNC:10472|Ensembl:ENSG00000124813|HPRD:02566|Vega:OTTHUMG00000014774	6	6p21	runt-related transcription factor 2	protein-coding
861	RUNX1	AML1|AML1-EVI-1|AMLCR1|CBFA2|EVI-1|PEBP2aB	MIM:151385|HGNC:HGNC:10471|Ensembl:ENSG00000159216|HPRD:01043|Vega:OTTHUMG00000086299	21	21q22.3	runt-related transcription factor 1	protein-coding
863	CBFA2T3	ETO2|MTG16|MTGR2|ZMYND4	MIM:603870|HGNC:HGNC:1537|Ensembl:ENSG00000129993|HPRD:04847|Vega:OTTHUMG00000137864	16	16q24	"core-binding factor, runt domain, alpha subunit 2; translocated to, 3"	protein-coding
864	RUNX3	AML2|CBFA3|PEBP2aC	MIM:600210|HGNC:HGNC:10473|Ensembl:ENSG00000020633|HPRD:02565|Vega:OTTHUMG00000003316	1	1p36	runt-related transcription factor 3	protein-coding
867	CBL	C-CBL|CBL2|FRA11B|NSLL|RNF55	MIM:165360|HGNC:HGNC:1541|Ensembl:ENSG00000110395|HPRD:01320|Vega:OTTHUMG00000166170	11	11q23.3	"Cbl proto-oncogene, E3 ubiquitin protein ligase"	protein-coding
889	KRIT1	CAM|CCM1	MIM:604214|HGNC:HGNC:1573|Ensembl:ENSG00000001631|HPRD:05020|Vega:OTTHUMG00000131187	7	7q21.2	"KRIT1, ankyrin repeat containing"	protein-coding
892	CCNC	CycC	MIM:123838|HGNC:HGNC:1581|Ensembl:ENSG00000112237|HPRD:00456|Vega:OTTHUMG00000015268	6	6q21	cyclin C	protein-coding
920	CD4	CD4mut	MIM:186940|HGNC:HGNC:1678|Ensembl:ENSG00000010610|HPRD:01740|Vega:OTTHUMG00000168514	12	12p13.31	CD4 molecule	protein-coding
960	CD44	CDW44|CSPG8|ECMR-III|HCELL|HUTCH-I|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1	MIM:107269|HGNC:HGNC:1681|Ensembl:ENSG00000026508|HPRD:00115|Vega:OTTHUMG00000044388	11	11p13	CD44 molecule (Indian blood group)	protein-coding
999	CDH1	Arc-1|CD324|CDHE|ECAD|LCAM|UVO	MIM:192090|HGNC:HGNC:1748|Ensembl:ENSG00000039068|HPRD:01885|Vega:OTTHUMG00000137561	16	16q22.1	"cadherin 1, type 1, E-cadherin (epithelial)"	protein-coding
1002	CDH4	CAD4|R-CAD|RCAD	MIM:603006|HGNC:HGNC:1763|Ensembl:ENSG00000179242|HPRD:04304|Vega:OTTHUMG00000032890	20	20q13.3	"cadherin 4, type 1, R-cadherin (retinal)"	protein-coding
1003	CDH5	7B4|CD144	MIM:601120|HGNC:HGNC:1764|Ensembl:ENSG00000179776|HPRD:03075|Vega:OTTHUMG00000137495	16	16q22.1	"cadherin 5, type 2 (vascular endothelium)"	protein-coding
1009	CDH11	CAD11|CDHOB|OB|OSF-4	MIM:600023|HGNC:HGNC:1750|HPRD:08960	16	16q21	"cadherin 11, type 2, OB-cadherin (osteoblast)"	protein-coding
1012	CDH13	CDHH|P105	MIM:601364|HGNC:HGNC:1753|Ensembl:ENSG00000140945|HPRD:03219|Vega:OTTHUMG00000176635	16	16q23.3	cadherin 13	protein-coding
1015	CDH17	CDH16|HPT-1|HPT1	MIM:603017|HGNC:HGNC:1756|Ensembl:ENSG00000079112|HPRD:04312|Vega:OTTHUMG00000164391	8	8q22.1	"cadherin 17, LI cadherin (liver-intestine)"	protein-coding
1017	CDK2	CDKN2|p33(CDK2)	MIM:116953|HGNC:HGNC:1771|Ensembl:ENSG00000123374|HPRD:00310|Vega:OTTHUMG00000170575	12	12q13	cyclin-dependent kinase 2	protein-coding
1021	CDK6	MCPH12|PLSTIRE	MIM:603368|HGNC:HGNC:1777|Ensembl:ENSG00000105810|HPRD:04533|Vega:OTTHUMG00000131697	7	7q21-q22	cyclin-dependent kinase 6	protein-coding
1026	CDKN1A	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	MIM:116899|HGNC:HGNC:1784|Ensembl:ENSG00000124762|HPRD:00298|Vega:OTTHUMG00000014603	6	6p21.2	"cyclin-dependent kinase inhibitor 1A (p21, Cip1)"	protein-coding
1027	CDKN1B	CDKN4|KIP1|MEN1B|MEN4|P27KIP1	MIM:600778|HGNC:HGNC:1785|Ensembl:ENSG00000111276|HPRD:02867|Vega:OTTHUMG00000149914	12	12p13.1-p12	"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"	protein-coding
1028	CDKN1C	BWCR|BWS|KIP2|WBS|p57|p57Kip2	MIM:600856|HGNC:HGNC:1786|Ensembl:ENSG00000129757|HPRD:02913|Vega:OTTHUMG00000010040	11	11p15.5	"cyclin-dependent kinase inhibitor 1C (p57, Kip2)"	protein-coding
1029	CDKN2A	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16	MIM:600160|HGNC:HGNC:1787|Ensembl:ENSG00000147889|HPRD:02542|Vega:OTTHUMG00000019686	9	9p21	cyclin-dependent kinase inhibitor 2A	protein-coding
1030	CDKN2B	CDK4I|INK4B|MTS2|P15|TP15|p15INK4b	MIM:600431|HGNC:HGNC:1788|Ensembl:ENSG00000147883|HPRD:02696|Vega:OTTHUMG00000019691	9	9p21	"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)"	protein-coding
1031	CDKN2C	INK4C|p18|p18-INK4C	MIM:603369|HGNC:HGNC:1789|Ensembl:ENSG00000123080|HPRD:04534|Vega:OTTHUMG00000008046	1	1p32	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"	protein-coding
1036	CDO1	-	MIM:603943|HGNC:HGNC:1795|Ensembl:ENSG00000129596|HPRD:06806|Vega:OTTHUMG00000128891	5	5q23.2	cysteine dioxygenase type 1	protein-coding
1045	CDX2	CDX-3|CDX2/AS|CDX3	MIM:600297|HGNC:HGNC:1806|HPRD:02622	13	13q12.3	caudal type homeobox 2	protein-coding
1050	CEBPA	C/EBP-alpha|CEBP	MIM:116897|HGNC:HGNC:1833|Ensembl:ENSG00000245848|HPRD:00296|Vega:OTTHUMG00000161461	19	19q13.1	"CCAAT/enhancer binding protein (C/EBP), alpha"	protein-coding
1052	CEBPD	C/EBP-delta|CELF|CRP3|NF-IL6-beta	MIM:116898|HGNC:HGNC:1835|HPRD:00297	8	8p11.2-p11.1	"CCAAT/enhancer binding protein (C/EBP), delta"	protein-coding
1080	CFTR	ABC35|ABCC7|CF|CFTR/MRP|MRP7|TNR-CFTR|dJ760C5.1	MIM:602421|HGNC:HGNC:1884|Ensembl:ENSG00000001626|HPRD:03883|Vega:OTTHUMG00000023076	7	7q31.2	"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)"	protein-coding
1105	CHD1	-	MIM:602118|HGNC:HGNC:1915|Ensembl:ENSG00000153922|HPRD:03668|Vega:OTTHUMG00000162744	5	5q15-q21	chromodomain helicase DNA binding protein 1	protein-coding
1111	CHEK1	CHK1	MIM:603078|HGNC:HGNC:1925|Ensembl:ENSG00000149554|HPRD:04356|Vega:OTTHUMG00000165853	11	11q24.2	checkpoint kinase 1	protein-coding
1147	CHUK	IKBKA|IKK-alpha|IKK1|IKKA|NFKBIKA|TCF16	MIM:600664|HGNC:HGNC:1974|Ensembl:ENSG00000213341|HPRD:02811|Vega:OTTHUMG00000018899	10	10q24-q25	conserved helix-loop-helix ubiquitous kinase	protein-coding
1191	CLU	APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2	MIM:185430|HGNC:HGNC:2095|Ensembl:ENSG00000120885|HPRD:01706|Vega:OTTHUMG00000102114	8	8p21-p12	clusterin	protein-coding
1264	CNN1	HEL-S-14|SMCC|Sm-Calp	MIM:600806|HGNC:HGNC:2155|Ensembl:ENSG00000130176|HPRD:02884|Vega:OTTHUMG00000182033	19	19p13.2-p13.1	"calponin 1, basic, smooth muscle"	protein-coding
1316	KLF6	BCD1|CBA1|COPEB|CPBP|GBF|PAC1|ST12|ZF9	MIM:602053|HGNC:HGNC:2235|Ensembl:ENSG00000067082|HPRD:03632|Vega:OTTHUMG00000017567	10	10p15	Kruppel-like factor 6	protein-coding
1326	MAP3K8	COT|EST|ESTF|MEKK8|TPL2|Tpl-2|c-COT	MIM:191195|HGNC:HGNC:6860|Ensembl:ENSG00000107968|HPRD:01863|Vega:OTTHUMG00000017889	10	10p11.23	mitogen-activated protein kinase kinase kinase 8	protein-coding
1387	CREBBP	CBP|KAT3A|RSTS	MIM:600140|HGNC:HGNC:2348|Ensembl:ENSG00000005339|HPRD:02534|Vega:OTTHUMG00000129431	16	16p13.3	CREB binding protein	protein-coding
1390	CREM	CREM-2|ICER|hCREM-2	MIM:123812|HGNC:HGNC:2352|Ensembl:ENSG00000095794|HPRD:00444|Vega:OTTHUMG00000017953	10	10p11.21	cAMP responsive element modulator	protein-coding
1437	CSF2	GMCSF	MIM:138960|HGNC:HGNC:2434|Ensembl:ENSG00000164400|HPRD:00734|Vega:OTTHUMG00000059637	5	5q31.1	colony stimulating factor 2 (granulocyte-macrophage)	protein-coding
1452	CSNK1A1	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	MIM:600505|HGNC:HGNC:2451|Ensembl:ENSG00000113712|HPRD:02739|Vega:OTTHUMG00000163463	5	5q32	"casein kinase 1, alpha 1"	protein-coding
1473	CST5	-	MIM:123858|HGNC:HGNC:2477|Ensembl:ENSG00000170367|HPRD:00463|Vega:OTTHUMG00000032089	20	20p11.21	cystatin D	protein-coding
1474	CST6	-	MIM:601891|HGNC:HGNC:2478|Ensembl:ENSG00000175315|HPRD:03535|Vega:OTTHUMG00000166750	11	11q13	cystatin E/M	protein-coding
1490	CTGF	CCN2|HCS24|IGFBP8|NOV2	MIM:121009|HGNC:HGNC:2500|Ensembl:ENSG00000118523|HPRD:00412|Vega:OTTHUMG00000015573	6	6q23.1	connective tissue growth factor	protein-coding
1496	CTNNA2	CAP-R|CAPR|CT114|CTNR	MIM:114025|HGNC:HGNC:2510|Ensembl:ENSG00000066032|HPRD:00228|Vega:OTTHUMG00000152903	2	2p12-p11.1	"catenin (cadherin-associated protein), alpha 2"	protein-coding
1500	CTNND1	CAS|CTNND|P120CAS|P120CTN|p120|p120(CAS)|p120(CTN)	MIM:601045|HGNC:HGNC:2515|Ensembl:ENSG00000198561|HPRD:03026|Vega:OTTHUMG00000167272	11	11q11	"catenin (cadherin-associated protein), delta 1"	protein-coding
1523	CUX1	CASP|CDP|CDP/Cut|CDP1|COY1|CUTL1|CUX|Clox|Cux/CDP|GOLIM6|Nbla10317|p100|p110|p200|p75	MIM:116896|HGNC:HGNC:2557|Ensembl:ENSG00000257923|HPRD:00295|Vega:OTTHUMG00000157129	7	7q22.1	cut-like homeobox 1	protein-coding
1528	CYB5A	CYB5|MCB5	MIM:613218|HGNC:HGNC:2570|Ensembl:ENSG00000166347|HPRD:08941|Vega:OTTHUMG00000132843	18	18q23	cytochrome b5 type A (microsomal)	protein-coding
1540	CYLD	BRSS|CDMT|CYLD1|CYLDI|EAC|MFT|MFT1|SBS|TEM|USPL2	MIM:605018|HGNC:HGNC:2584|Ensembl:ENSG00000083799|HPRD:05427|Vega:OTTHUMG00000173404	16	16q12.1	cylindromatosis (turban tumor syndrome)	protein-coding
1601	DAB2	DOC-2|DOC2	MIM:601236|HGNC:HGNC:2662|Ensembl:ENSG00000153071|HPRD:03139|Vega:OTTHUMG00000162043	5	5p13.1	"Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila)"	protein-coding
1602	DACH1	DACH	MIM:603803|HGNC:HGNC:2663|Ensembl:ENSG00000276644|HPRD:16031|Vega:OTTHUMG00000017063	13	13q22	dachshund family transcription factor 1	protein-coding
1612	DAPK1	DAPK	MIM:600831|HGNC:HGNC:2674|Ensembl:ENSG00000196730|HPRD:02902|Vega:OTTHUMG00000020150	9	9q21.33	death-associated protein kinase 1	protein-coding
1613	DAPK3	DLK|ZIP|ZIPK	MIM:603289|HGNC:HGNC:2676|Ensembl:ENSG00000167657|HPRD:04478|Vega:OTTHUMG00000181825	19	19p13.3	death-associated protein kinase 3	protein-coding
1620	BRINP1	DBC1|DBCCR1|FAM5A	MIM:602865|HGNC:HGNC:2687|Ensembl:ENSG00000078725|HPRD:04181|Vega:OTTHUMG00000021020	9	9q32-q33	bone morphogenetic protein/retinoic acid inducible neural-specific 1	protein-coding
1630	DCC	CRC18|CRCR1|IGDCC1|MRMV1|NTN1R1	MIM:120470|HGNC:HGNC:2701|Ensembl:ENSG00000187323|HPRD:00391|Vega:OTTHUMG00000132698	18	18q21.3	DCC netrin 1 receptor	protein-coding
1634	DCN	CSCD|DSPG2|PG40|PGII|PGS2|SLRR1B	MIM:125255|HGNC:HGNC:2705|Ensembl:ENSG00000011465|HPRD:00501	12	12q21.33	decorin	protein-coding
1643	DDB2	DDBB|UV-DDB2	MIM:600811|HGNC:HGNC:2718|Ensembl:ENSG00000134574|HPRD:02886|Vega:OTTHUMG00000187453	11	11p12-p11	"damage-specific DNA binding protein 2, 48kDa"	protein-coding
1647	GADD45A	DDIT1|GADD45	MIM:126335|HGNC:HGNC:4095|Ensembl:ENSG00000116717|HPRD:00528|Vega:OTTHUMG00000009374	1	1p31.2	"growth arrest and DNA-damage-inducible, alpha"	protein-coding
1654	DDX3X	CAP-Rf|DBX|DDX14|DDX3|HLP2	MIM:300160|HGNC:HGNC:2745|Ensembl:ENSG00000215301|HPRD:02154|Vega:OTTHUMG00000021369	X	Xp11.3-p11.23	"DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked"	protein-coding
1672	DEFB1	BD1|DEFB-1|DEFB101|HBD1	MIM:602056|HGNC:HGNC:2766|Ensembl:ENSG00000164825|HPRD:03634|Vega:OTTHUMG00000090367	8	8p23.1	"defensin, beta 1"	protein-coding
1676	DFFA	DFF-45|DFF1|ICAD	MIM:601882|HGNC:HGNC:2772|HPRD:03531	1	1p36.3-p36.2	"DNA fragmentation factor, 45kDa, alpha polypeptide"	protein-coding
