Hugo Symbol	Entrez Gene ID	GRCh37 Isoform	GRCh37 RefSeq	GRCh38 Isoform	GRCh38 RefSeq	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
BRCA2	675	ENST00000380152	NM_000059.3	ENST00000380152	NM_000059.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CARD11	84433	ENST00000396946	NM_032415.4	ENST00000396946	NM_032415.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
CBL	867	ENST00000264033	NM_005188.3	ENST00000264033	NM_005188.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CDC73	79577	ENST00000367435	NM_024529.4	ENST00000367435	NM_024529.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CDH1	999	ENST00000261769	NM_004360.3	ENST00000261769	NM_004360.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CDKN2A	1029	ENST00000304494	NM_000077.4	ENST00000304494	NM_000077.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CEBPA	1050	ENST00000498907	NM_004364.3	ENST00000498907	NM_004364.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CIC	23152	ENST00000575354	NM_015125.3	ENST00000575354	NM_015125.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CREBBP	1387	ENST00000262367	NM_004380.2	ENST00000262367	NM_004380.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CTNNB1	1499	ENST00000349496	NM_001904.3	ENST00000349496	NM_001904.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
DAXX	1616	ENST00000374542	NM_001141970.1	ENST00000266000	NM_001141970.1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
DNMT3A	1788	ENST00000264709	NM_022552.4	ENST00000264709	NM_022552.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
EGFR	1956	ENST00000275493	NM_005228.3	ENST00000275493	NM_005228.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
EP300	2033	ENST00000263253	NM_001429.3	ENST00000263253	NM_001429.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ERBB2	2064	ENST00000269571	NM_004448.2	ENST00000269571	NM_004448.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
EZH2	2146	ENST00000320356	NM_004456.4	ENST00000320356	NM_004456.4	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
FBXW7	55294	ENST00000281708	NM_033632.3	ENST00000281708	NM_033632.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
FGFR2	2263	ENST00000358487	NM_000141.4	ENST00000358487	NM_000141.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
FGFR3	2261	ENST00000260795	NM_000142.4	ENST00000440486	NM_000142.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
FLT3	2322	ENST00000241453	NM_004119.2	ENST00000241453	NM_004119.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
FOXL2	668	ENST00000330315	NM_023067.3	ENST00000648323	NM_023067.3	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
GATA3	2625	ENST00000346208	NM_002051.2	ENST00000346208	NM_002051.2	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
GNA11	2767	ENST00000078429	NM_002067.2	ENST00000078429	NM_002067.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
GNAQ	2776	ENST00000286548	NM_002072.3	ENST00000286548	NM_002072.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
GNAS	2778	ENST00000371085	NM_000516.4	ENST00000371085	NM_000516.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
HNF1A	6927	ENST00000257555	NM_000545.5	ENST00000257555	NM_000545.5	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
HRAS	3265	ENST00000451590	NM_005343.2	ENST00000451590	NM_005343.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
IDH1	3417	ENST00000345146	NM_005896.2	ENST00000345146	NM_005896.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
IDH2	3418	ENST00000330062	NM_002168.2	ENST00000330062	NM_002168.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
JAK1	3716	ENST00000342505	NM_002227.2	ENST00000342505	NM_002227.2	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
JAK2	3717	ENST00000381652	NM_004972.3	ENST00000381652	NM_004972.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
JAK3	3718	ENST00000458235	NM_000215.3	ENST00000458235	NM_000215.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
KDM5C	8242	ENST00000375401	NM_004187.3	ENST00000375401	NM_004187.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
KDM6A	7403	ENST00000377967	NM_021140.2	ENST00000377967	NM_021140.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
KIT	3815	ENST00000288135	NM_000222.2	ENST00000288135	NM_000222.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
KMT2D	8085	ENST00000301067	NM_003482.3	ENST00000301067	NM_003482.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
KRAS	3845	ENST00000311936	NM_004985.3	ENST00000311936	NM_004985.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
MAP2K1	5604	ENST00000307102	NM_002755.3	ENST00000307102	NM_002755.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
MAP3K1	4214	ENST00000399503	NM_005921.1	ENST00000399503	NM_005921.1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MED12	9968	ENST00000374080	NM_005120.2	ENST00000374080	NM_005120.2	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MEN1	4221	ENST00000312049	NM_130799.2	ENST00000312049	NM_130799.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MET	4233	ENST00000397752	NM_000245.2	ENST00000397752	NM_000245.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
MLH1	4292	ENST00000231790	NM_000249.3	ENST00000231790	NM_000249.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MPL	4352	ENST00000372470	NM_005373.2	ENST00000372470	NM_005373.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
MSH2	4436	ENST00000233146	NM_000251.2	ENST00000233146	NM_000251.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MSH6	2956	ENST00000234420	NM_000179.2	ENST00000234420	NM_000179.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MYD88	4615	ENST00000396334	NM_002468.4	ENST00000396334	NM_002468.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
NF1	4763	ENST00000356175	NM_000267.3	ENST00000356175	NM_000267.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NF2	4771	ENST00000338641	NM_000268.3	ENST00000338641	NM_000268.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NFE2L2	4780	ENST00000397062	NM_006164.4	ENST00000397062	NM_006164.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
NOTCH1	4851	ENST00000277541	NM_017617.3	ENST00000651671	NM_017617.3	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NOTCH2	4853	ENST00000256646	NM_024408.3	ENST00000256646	NM_024408.3	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NPM1	4869	ENST00000296930	NM_002520.6	ENST00000296930	NM_002520.6	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NRAS	4893	ENST00000369535	NM_002524.4	ENST00000369535	NM_002524.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
PAX5	5079	ENST00000358127	NM_016734.2	ENST00000358127	NM_016734.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PBRM1	55193	ENST00000394830	NM_018313.4	ENST00000394830	NM_018313.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PDGFRA	5156	ENST00000257290	NM_006206.4	ENST00000257290	NM_006206.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
PIK3CA	5290	ENST00000263967	NM_006218.2	ENST00000263967	NM_006218.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
PIK3R1	5295	ENST00000274335	NM_181523.2	ENST00000521381	NM_181523.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PPP2R1A	5518	ENST00000322088	NM_014225.5	ENST00000322088	NM_014225.5	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PRDM1	639	ENST00000369096	NM_001198.3	ENST00000369096	NM_001198.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PTCH1	5727	ENST00000331920	NM_000264.3	ENST00000331920	NM_000264.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PTEN	5728	ENST00000371953	NM_000314.4	ENST00000371953	NM_000314.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PTPN11	5781	ENST00000351677	NM_002834.3	ENST00000351677	NM_002834.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
RB1	5925	ENST00000267163	NM_000321.2	ENST00000267163	NM_000321.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
RET	5979	ENST00000355710	NM_020975.4	ENST00000355710	NM_020975.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
RNF43	54894	ENST00000407977	NM_017763.4	ENST00000407977	NM_017763.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SETD2	29072	ENST00000409792	NM_014159.6	ENST00000409792	NM_014159.6	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SF3B1	23451	ENST00000335508	NM_012433.2	ENST00000335508	NM_012433.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
SMAD2	4087	ENST00000262160	NM_001003652.3	ENST00000262160	NM_001003652.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMAD4	4089	ENST00000342988	NM_005359.5	ENST00000342988	NM_005359.5	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMARCA4	6597	ENST00000358026	NM_001128849.1	ENST00000646693	NM_001128849.1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMARCB1	6598	ENST00000263121	NM_003073.3	ENST00000618915	NM_003073.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMO	6608	ENST00000249373	NM_005631.4	ENST00000249373	NM_005631.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
SOCS1	8651	ENST00000332029	NM_003745.1	ENST00000332029	NM_003745.1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SPOP	8405	ENST00000347630	NM_001007228.1	ENST00000347630	NM_001007228.1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
STAG2	10735	ENST00000218089	NM_001042749.1	ENST00000218089	NM_001042749.1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
STK11	6794	ENST00000326873	NM_000455.4	ENST00000326873	NM_000455.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TET2	54790	ENST00000380013	NM_001127208.2	ENST00000380013	NM_001127208.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TNFAIP3	7128	ENST00000237289	NM_006290.3	ENST00000237289	NM_006290.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TP53	7157	ENST00000269305	NM_000546.5	ENST00000269305	NM_000546.5	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TSC1	7248	ENST00000298552	NM_000368.4	ENST00000298552	NM_000368.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
U2AF1	7307	ENST00000291552	NM_006758.2	ENST00000291552	NM_006758.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
VHL	7428	ENST00000256474	NM_000551.3	ENST00000256474	NM_000551.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
WT1	7490	ENST00000332351	NM_024426.4	ENST00000452863	NM_024426.4	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
AKT2	208	ENST00000392038	NM_001626.4	ENST00000392038	NM_001626.4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
ARID2	196528	ENST00000334344	NM_152641.2	ENST00000334344	NM_152641.2	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes
ATR	545	ENST00000350721	NM_001184.3	ENST00000350721	NM_001184.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
B2M	567	ENST00000558401	NM_004048.2	ENST00000559916	NM_004048.2	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes
BARD1	580	ENST00000260947	NM_000465.2	ENST00000260947	NM_000465.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
BCL6	604	ENST00000232014	NM_001706.4	ENST00000232014	NM_001706.4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
BRD4	23476	ENST00000263377	NM_058243.2	ENST00000263377	NM_058243.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
BRIP1	83990	ENST00000259008	NM_032043.2	ENST00000259008	NM_032043.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
BTK	695	ENST00000308731	NM_000061.2	ENST00000308731	NM_000061.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CALR	811	ENST00000316448	NM_004343.3	ENST00000316448	NM_004343.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CASP8	841	ENST00000358485	NM_001080125.1	ENST00000358485	NM_001080125.1	6	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes
CBFB	865	ENST00000412916	NM_022845.2	ENST00000412916	NM_022845.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
CCND1	595	ENST00000227507	NM_053056.2	ENST00000227507	NM_053056.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CCND2	894	ENST00000261254	NM_001759.3	ENST00000261254	NM_001759.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CCND3	896	ENST00000372991	NM_001760.3	ENST00000372991	NM_001760.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CCNE1	898	ENST00000262643	NM_001238.2	ENST00000262643	NM_001238.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CD274	29126	ENST00000381577	NM_014143.3	ENST00000381577	NM_014143.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CD79A	973	ENST00000221972	NM_001783.3	ENST00000221972	NM_001783.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CD79B	974	ENST00000392795	NM_001039933.1	ENST00000392795	NM_001039933.1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CDK12	51755	ENST00000447079	NM_016507.2	ENST00000447079	NM_016507.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
CDK4	1019	ENST00000257904	NM_000075.3	ENST00000257904	NM_000075.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CDK6	1021	ENST00000265734	NM_001145306.1	ENST00000265734	NM_001145306.1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CDKN1B	1027	ENST00000228872	NM_004064.3	ENST00000228872	NM_004064.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
CDKN2C	1031	ENST00000262662	NM_078626.2	ENST00000262662	NM_078626.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
CHEK2	11200	ENST00000328354	NM_007194.3	ENST00000404276	NM_007194.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
CRLF2	64109	ENST00000381566	NM_022148.2	ENST00000381566	NM_022148.2	6	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes
CSF1R	1436	ENST00000286301	NM_005211.3	ENST00000286301	NM_005211.3	6	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No
CSF3R	1441	ENST00000361632	NM_000760.3	ENST00000361632	NM_000760.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CTCF	10664	ENST00000264010	NM_006565.3	ENST00000264010	NM_006565.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
CXCR4	7852	ENST00000241393	NM_003467.2	ENST00000241393	NM_003467.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
DDR2	4921	ENST00000367921	NM_006182.2	ENST00000367921	NM_006182.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
ERBB3	2065	ENST00000267101	NM_001982.3	ENST00000267101	NM_001982.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
ERBB4	2066	ENST00000342788	NM_005235.2	ENST00000342788	NM_005235.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
ERG	2078	ENST00000288319	NM_182918.3	ENST00000288319	NM_182918.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
ESR1	2099	ENST00000206249	NM_001122740.1	ENST00000206249	NM_001122740.1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
ETV6	2120	ENST00000396373	NM_001987.4	ENST00000396373	NM_001987.4	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
FANCA	2175	ENST00000389301	NM_000135.2	ENST00000389301	NM_000135.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
FANCC	2176	ENST00000289081	NM_000136.2	ENST00000289081	NM_000136.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
FGFR1	2260	ENST00000425967	NM_001174067.1	ENST00000425967	NM_001174067.1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
FGFR4	2264	ENST00000292408	NM_213647.1	ENST00000292408	NM_213647.1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
FLCN	201163	ENST00000285071	NM_144997.5	ENST00000285071	NM_144997.5	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
FUBP1	8880	ENST00000370768	NM_003902.3	ENST00000370768	NM_003902.3	6	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes
GATA1	2623	ENST00000376670	NM_002049.3	ENST00000376670	NM_002049.3	6	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes
GATA2	2624	ENST00000341105	NM_032638.4	ENST00000341105	NM_032638.4	6	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes
H3-3A	3020	ENST00000366813	NM_002107.4	ENST00000366815	NM_002107.4	6	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes
H3C2	8358	ENST00000244661	NM_003537.3	ENST00000621411	NM_003537.3	6	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes
IKZF1	10320	ENST00000331340	NM_006060.4	ENST00000331340	NM_006060.4	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
IRF4	3662	ENST00000380956	NM_002460.3	ENST00000380956	NM_002460.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
JUN	3725	ENST00000371222	NM_002228.3	ENST00000371222	NM_002228.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
KDM5A	5927	ENST00000399788	NM_001042603.1	ENST00000399788	NM_001042603.1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
KDR	3791	ENST00000263923	NM_002253.2	ENST00000263923	NM_002253.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
KEAP1	9817	ENST00000171111	NM_203500.1	ENST00000171111	NM_203500.1	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
KMT2A	4297	ENST00000534358	NM_001197104.1	ENST00000534358	NM_001197104.1	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
KMT2C	58508	ENST00000262189	NM_170606.2	ENST00000262189	NM_170606.2	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes
MAP2K2	5605	ENST00000262948	NM_030662.3	ENST00000262948	NM_030662.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
MAP2K4	6416	ENST00000353533	NM_003010.3	ENST00000353533	NM_003010.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
MAPK1	5594	ENST00000215832	NM_002745.4	ENST00000215832	NM_002745.4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
MDM2	4193	ENST00000462284	NM_002392.5	ENST00000258149	NM_002392.5	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
MDM4	4194	ENST00000367182	NM_002393.4	ENST00000367182	NM_002393.4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
MITF	4286	ENST00000394351	NM_000248.3	ENST00000394351	NM_000248.3	6	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes
MTOR	2475	ENST00000361445	NM_004958.3	ENST00000361445	NM_004958.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
MUTYH	4595	ENST00000372115	NM_001048171.1	ENST00000372115	NM_001048171.1	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
MYC	4609	ENST00000377970	NM_002467.4	ENST00000621592	NM_002467.4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
MYCL	4610	ENST00000397332	NM_001033082.2	ENST00000397332	NM_001033082.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
MYCN	4613	ENST00000281043	NM_005378.4	ENST00000281043	NM_005378.4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
NKX2-1	7080	ENST00000354822	NM_001079668.2	ENST00000354822	NM_001079668.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
NSD2	7468	ENST00000382891	NM_001042424.2	ENST00000382891	NM_001042424.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
NSD3	54904	ENST00000317025	NM_023034.1	ENST00000317025	NM_023034.1	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
NTRK1	4914	ENST00000524377	NM_002529.3	ENST00000524377	NM_002529.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
NTRK3	4916	ENST00000360948	NM_001012338.2	ENST00000360948	NM_001012338.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
PALB2	79728	ENST00000261584	NM_024675.3	ENST00000261584	NM_024675.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
PDCD1LG2	80380	ENST00000397747	NM_025239.3	ENST00000397747	NM_025239.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
PDGFRB	5159	ENST00000261799	NM_002609.3	ENST00000261799	NM_002609.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
PHF6	84295	ENST00000332070	NM_001015877.1	ENST00000332070	NM_001015877.1	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes
PIM1	5292	ENST00000373509	NM_002648.3	ENST00000373509	NM_002648.3	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
PRKAR1A	5573	ENST00000358598	NM_212471.2	ENST00000358598	NM_212471.2	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
RAD21	5885	ENST00000297338	NM_006265.2	ENST00000297338	NM_006265.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
RAF1	5894	ENST00000251849	NM_002880.3	ENST00000251849	NM_002880.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
RARA	5914	ENST00000254066	NM_000964.3	ENST00000254066	NM_000964.3	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
