Gene_Ensembl_ID	Gene_full_name	Protein_RefSeq_ID
ENSG00000002822	mitotic arrest deficient 1 like 1	NP_001013858.1,NP_001013859.1,NP_001291452.1,NP_001291453.1,NP_001291454.1,NP_003541.2
ENSG00000002834	LIM and SH3 protein 1	NP_001258537.1,NP_006139.1
ENSG00000002919	sorting nexin 11	NP_001317249.1,NP_037455.2,NP_689450.1
ENSG00000002933	transmembrane protein 176A	NP_060957.2
ENSG00000003056	mannose-6-phosphate receptor, cation dependent	NP_001193953.1,NP_002346.1
ENSG00000003096	kelch like family member 13	NP_001161771.1,NP_001161772.1,NP_001161773.1,NP_001161774.1,NP_001161775.2,NP_001381792.1,NP_001381793.1,NP_001381794.2,NP_001381795.1,NP_277030.2
ENSG00000003137	cytochrome P450 family 26 subfamily B member 1	NP_001264671.1,NP_063938.1
ENSG00000003147	islet cell autoantigen 1	NP_001129492.1,NP_001263407.1,NP_001337748.1,NP_001337749.1,NP_001337750.1,NP_001337752.1,NP_001337753.1,NP_001337754.1,NP_001337755.1,NP_001337756.1,NP_001337757.1,NP_001337758.1,NP_001337759.1,NP_001337760.1,NP_001337761.1,NP_001337762.1,NP_001337763.1,NP_001337764.1,NP_001337765.1,NP_001337766.1,NP_001337767.1,NP_004959.2,NP_071682.1
ENSG00000003249	dysbindin domain containing 1	NP_001036075.1,NP_001275637.1,NP_001275638.2,NP_001358510.1,NP_076948.2
ENSG00000003393	alsin Rho guanine nucleotide exchange factor ALS2	NP_001129217.1,NP_065970.2
ENSG00000003400	caspase 10	NP_001193453.1,NP_001193471.1,NP_001221.2,NP_001293012.1,NP_116756.2,NP_116758.1,NP_116759.2
ENSG00000003402	CASP8 and FADD like apoptosis regulator	NP_001120655.1,NP_001120656.1,NP_001189444.1,NP_001189445.1,NP_001189446.1,NP_001189447.1,NP_001189448.1,NP_001294971.1,NP_001294972.1,NP_001338519.1,NP_001338520.1,NP_001338521.1,NP_001338522.1,NP_001338523.1,NP_003870.4
ENSG00000003436	tissue factor pathway inhibitor	NP_001027452.1,NP_001305870.1,NP_001316168.1,NP_001316169.1,NP_001316170.1,NP_006278.1
ENSG00000003509	NADH:ubiquinone oxidoreductase complex assembly factor 7	NP_001077415.1,NP_001336953.1,NP_001336954.1,NP_001336956.1,NP_653337.1
ENSG00000003756	RNA binding motif protein 5	NP_005769.1
ENSG00000003987	myotubularin related protein 7	NP_004677.3
ENSG00000003989	solute carrier family 7 member 2	NP_001008539.3,NP_001158243.1,NP_001357266.1,NP_001357267.1,NP_003037.4
ENSG00000004059	ADP ribosylation factor 5	NP_001653.1
ENSG00000004139	sterile alpha and TIR motif containing 1	NP_055892.2
ENSG00000004142	DNA polymerase delta interacting protein 2	NP_001277074.1,NP_056399.1
ENSG00000004399	plexin D1	NP_055918.3
ENSG00000004455	adenylate kinase 2	NP_001186128.1,NP_001306068.1,NP_001306069.1,NP_001306070.1,NP_001306071.1,NP_001306072.1,NP_001616.1,NP_037543.1
ENSG00000004468	CD38 molecule	NP_001766.2
ENSG00000004478	FKBP prolyl isomerase 4	NP_002005.1
ENSG00000004487	lysine demethylase 1A	NP_001009999.1,NP_001350583.1,NP_055828.2
ENSG00000004534	RNA binding motif protein 6	NP_001161054.1,NP_001336119.1,NP_001336120.1,NP_001336121.1,NP_001336122.1,NP_001336123.1,NP_005768.1
ENSG00000004660	calcium/calmodulin dependent protein kinase kinase 1	NP_115670.1,NP_757343.2,NP_757344.2
ENSG00000004700	RecQ like helicase	NP_002898.2,NP_116559.1
ENSG00000004766	VPS50 subunit of EARP/GARPII complex	NP_001244927.1,NP_060137.2,NP_078829.1
ENSG00000004776	heat shock protein family B (small) member 6	NP_653218.1
ENSG00000004777	Rho GTPase activating protein 33	NP_001166101.1,NP_001353107.1,NP_443180.2
ENSG00000004779	NADH:ubiquinone oxidoreductase subunit AB1	NP_004994.1
ENSG00000004799	pyruvate dehydrogenase kinase 4	NP_002603.1
ENSG00000004809	solute carrier family 22 member 16	NP_149116.2
ENSG00000004838	zinc finger MYND-type containing 10	NP_001295308.1,NP_056980.2
ENSG00000004846	ATP binding cassette subfamily B member 5	NP_001157413.1,NP_001157414.1,NP_001157465.1,NP_848654.3
ENSG00000004848	aristaless related homeobox	NP_620689.1
ENSG00000004864	solute carrier family 25 member 13	NP_001153682.1,NP_055066.1
ENSG00000004866	suppression of tumorigenicity 7	NP_001356527.1,NP_001356528.1,NP_001356529.1,NP_001356530.1,NP_001356531.1,NP_001356532.1,NP_001356533.1,NP_001356535.1,NP_001356536.1,NP_060882.2,NP_068708.1
ENSG00000004897	cell division cycle 27	NP_001107563.1,NP_001247.3,NP_001280018.1,NP_001280020.1,NP_001339964.1,NP_001339976.1,NP_001339978.1,NP_001339979.1,NP_001339980.1
ENSG00000004939	solute carrier family 4 member 1 (Diego blood group)	NP_000333.1
ENSG00000004948	calcitonin receptor	NP_001158209.2,NP_001158210.1,NP_001733.1
ENSG00000004961	holocytochrome c synthase	NP_001116080.1,NP_001165462.1,NP_005324.3
ENSG00000004975	dishevelled segment polarity protein 2	NP_004413.1
ENSG00000005001	serine protease 22	NP_071402.1
ENSG00000005007	UPF1 RNA helicase and ATPase	NP_001284478.1,NP_002902.2
ENSG00000005020	src kinase associated phosphoprotein 2	NP_001290397.1,NP_003921.2
ENSG00000005022	solute carrier family 25 member 5	NP_001143.2
ENSG00000005059	mitochondrial calcium uniporter dominant negative subunit beta	NP_060388.2
ENSG00000005073	homeobox A11	NP_005514.1
ENSG00000005075	RNA polymerase II subunit J	NP_001358029.1,NP_001380848.1,NP_006225.1
ENSG00000005100	DEAH-box helicase 33	NP_001186628.1,NP_064547.2
ENSG00000005102	mesenchyme homeobox 1	NP_001035091.1,NP_004518.1,NP_054705.1
ENSG00000005108	thrombospondin type 1 domain containing 7A	NP_056019.1
ENSG00000005156	DNA ligase 3	NP_002302.2,NP_039269.2
ENSG00000005175	RNA polymerase II associated protein 3	NP_001139547.1,NP_001139548.1,NP_078880.2
ENSG00000005187	acyl-CoA synthetase medium chain family member 3	NP_005613.2,NP_973729.1
ENSG00000005189	RNA exonuclease 5	NP_001138396.1,NP_001185982.1,NP_112203.2
ENSG00000005194	cytokine induced apoptosis inhibitor 1	NP_001295276.1,NP_001295287.1,NP_064709.2
ENSG00000005206	signal peptide peptidase like 2B	NP_001070706.1,NP_694533.1
ENSG00000005238	family with sequence similarity 214 member B	NP_001304920.1,NP_079458.2
ENSG00000005243	COPI coat complex subunit zeta 2	NP_057513.1
ENSG00000005249	protein kinase cAMP-dependent type II regulatory subunit beta	NP_002727.2
ENSG00000005302	MSL complex subunit 3	NP_001180199.1,NP_001269103.1,NP_006791.2,NP_523352.1,NP_523353.2
ENSG00000005339	CREB binding protein	NP_001073315.1,NP_004371.2
ENSG00000005379	TSPO associated protein 1	NP_001248764.1,NP_004749.2,NP_077729.1
ENSG00000005381	myeloperoxidase	NP_000241.1
ENSG00000005421	paraoxonase 1	NP_000437.3
ENSG00000005436	GC-rich sequence DNA-binding factor 2	NP_001188263.1,NP_001188264.1,NP_003194.3
ENSG00000005448	WD repeat domain 54	NP_001307752.1,NP_001307753.1,NP_001307754.1,NP_115494.1
ENSG00000005469	carnitine O-octanoyltransferase	NP_001137407.1,NP_001230674.1,NP_066974.2
ENSG00000005471	ATP binding cassette subfamily B member 4	NP_000434.1,NP_061337.1,NP_061338.1
ENSG00000005483	lysine methyltransferase 2E (inactive)	NP_061152.3,NP_891847.1
ENSG00000005486	rhomboid domain containing 2	NP_001035546.1,NP_001035547.1,NP_001333115.1,NP_001333116.1,NP_001333117.1,NP_001333118.1
ENSG00000005513	SRY-box transcription factor 8	NP_055402.2
ENSG00000005700	inhibitor of Bruton tyrosine kinase	NP_001287835.1,NP_056340.2
ENSG00000005801	zinc finger protein 195	NP_001123991.1,NP_001123992.1,NP_001229770.1,NP_001229771.1,NP_001229772.1,NP_001243752.1,NP_001243753.1,NP_001243754.1,NP_009083.2
ENSG00000005810	MYC binding protein 2	NP_055872.4
ENSG00000005812	F-box and leucine rich repeat protein 3	NP_036290.1
ENSG00000005844	integrin subunit alpha L	NP_001107852.1,NP_002200.2
ENSG00000005882	pyruvate dehydrogenase kinase 2	NP_001186827.1,NP_001186828.1,NP_001186829.1,NP_002602.2
ENSG00000005884	integrin subunit alpha 3	NP_002195.1
ENSG00000005889	zinc finger protein X-linked	NP_001171555.1,NP_001171556.1,NP_001171557.1,NP_001171566.1,NP_001317256.1,NP_003401.2
ENSG00000005893	lysosomal associated membrane protein 2	NP_001116078.1,NP_002285.1,NP_054701.1
ENSG00000005961	integrin subunit alpha 2b	NP_000410.2
ENSG00000005981	ankyrin repeat and SOCS box containing 4	NP_057200.1,NP_665879.1
ENSG00000006007	glycerophosphodiester phosphodiesterase 1	NP_001310995.1,NP_001310996.1,NP_057725.1
ENSG00000006015	required for excision 1-B domain containing	NP_001093888.1,NP_001093889.1
ENSG00000006016	cytokine receptor like factor 1	NP_004741.1
ENSG00000006025	oxysterol binding protein like 7	NP_665741.1
ENSG00000006042	transmembrane protein 98	NP_001028676.1,NP_001288675.1,NP_056359.2
ENSG00000006047	Y-box binding protein 2	NP_057066.2
ENSG00000006059	keratin 33A	NP_004129.2
ENSG00000006062	mitogen-activated protein kinase kinase kinase 14	NP_003945.2
ENSG00000006071	ATP binding cassette subfamily C member 8	NP_000343.2,NP_001274103.1,NP_001338224.1,NP_001338225.1,NP_001338226.1
ENSG00000006116	calcium voltage-gated channel auxiliary subunit gamma 3	NP_006530.1
ENSG00000006118	transmembrane protein 132A	NP_060340.2,NP_821174.1
ENSG00000006125	adaptor related protein complex 2 subunit beta 1	NP_001025177.1,NP_001273.1
ENSG00000006128	tachykinin precursor 1	NP_003173.1,NP_054702.1,NP_054703.1,NP_054704.1
ENSG00000006194	zinc finger protein 263	NP_005732.2
ENSG00000006210	C-X3-C motif chemokine ligand 1	NP_001291321.1,NP_002987.1
ENSG00000006282	spermatogenesis associated 20	NP_001245301.1,NP_001245302.1,NP_073738.2
ENSG00000006283	calcium voltage-gated channel subunit alpha1 G	NP_001243253.1,NP_001243254.1,NP_001243255.1,NP_001243256.1,NP_001243257.1,NP_001243258.1,NP_001243259.1,NP_001243260.1,NP_001243261.1,NP_001243262.1,NP_001243263.1,NP_001243288.1,NP_001243289.1,NP_001243290.1,NP_061496.2,NP_938190.1,NP_938191.2,NP_938192.1,NP_938193.1,NP_938194.1,NP_938196.1,NP_938197.1,NP_938198.1,NP_938199.1,NP_938200.1,NP_938201.1,NP_938202.1,NP_938406.1
ENSG00000006327	TNF receptor superfamily member 12A	NP_057723.1
ENSG00000006377	distal-less homeobox 6	NP_005213.3
ENSG00000006432	mitogen-activated protein kinase kinase kinase 9	NP_001271159.1,NP_001271160.1,NP_001271161.1,NP_149132.2
ENSG00000006451	RAS like proto-oncogene A	NP_005393.2
ENSG00000006453	BAR/IMD domain containing adaptor protein 2 like 1	NP_061330.2
ENSG00000006459	lysine demethylase 7A	NP_085150.1
ENSG00000006468	ETS variant transcription factor 1	NP_001156619.1,NP_001156620.1,NP_001156621.1,NP_001156622.1,NP_001156623.1,NP_001156624.1,NP_001357484.1,NP_001357485.1,NP_004947.2
ENSG00000006530	acylglycerol kinase	NP_001351877.1,NP_060708.1
ENSG00000006534	aldehyde dehydrogenase 3 family member B1	NP_000685.1,NP_001025181.1,NP_001154945.1,NP_001276987.1,NP_001276988.1
ENSG00000006555	tetratricopeptide repeat domain 22	NP_001107580.1,NP_060374.2
ENSG00000006576	putative homeodomain transcription factor 2	NP_001120829.1,NP_001120830.1,NP_001120831.1,NP_001120832.1,NP_001353010.1,NP_001353011.1,NP_001353012.1,NP_001353013.1,NP_001353014.1,NP_001353015.1,NP_001353016.1,NP_001353017.1,NP_001353018.1,NP_001382199.1,NP_001382200.1,NP_001382201.1,NP_065165.3
ENSG00000006606	C-C motif chemokine ligand 26	NP_001358865.1,NP_001358867.1,NP_006063.1
ENSG00000006607	FERM, ARH/RhoGEF and pleckstrin domain protein 2	NP_001269912.1,NP_001269913.1,NP_055623.1
ENSG00000006611	USH1 protein network component harmonin	NP_001284693.1,NP_005700.2,NP_710142.1
ENSG00000006625	gamma-glutamylcyclotransferase	NP_001186744.1,NP_001186745.1,NP_001186746.1,NP_076956.1
ENSG00000006634	DBF4 zinc finger	NP_001304989.1,NP_001304990.1,NP_001304991.1,NP_006707.1
ENSG00000006638	thromboxane A2 receptor	NP_001051.1,NP_963998.2
ENSG00000006652	interferon related developmental regulator 1	NP_001007246.1,NP_001184008.1,NP_001184009.1,NP_001541.2
ENSG00000006659	galectin 14	NP_064514.1,NP_982297.1
ENSG00000006695	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10	NP_001294.2
ENSG00000006704	GTF2I repeat domain containing 1	NP_001186136.1,NP_005676.3,NP_057412.1
ENSG00000006712	PAF1 homolog, Paf1/RNA polymerase II complex component	NP_001243755.1,NP_061961.2
ENSG00000006715	VPS41 subunit of HOPS complex	NP_055211.2,NP_542198.2
ENSG00000006740	Rho GTPase activating protein 44	NP_001308093.1,NP_001308095.1,NP_001308096.1,NP_001308097.1,NP_055674.4
ENSG00000006744	elaC ribonuclease Z 2	NP_001159434.1,NP_060597.4,NP_776065.1
ENSG00000006747	scinderin	NP_001106177.1,NP_149119.1
ENSG00000006756	arylsulfatase D	NP_001660.2,NP_033667.2
ENSG00000006757	patatin like phospholipase domain containing 4	NP_001135861.1,NP_001166143.1,NP_004641.1
ENSG00000006788	myosin heavy chain 13	NP_003793.2
ENSG00000006831	adiponectin receptor 2	NP_001362292.1,NP_001362293.1,NP_001362294.1,NP_078827.2
ENSG00000006837	cyclin dependent kinase like 3	NP_001107047.1,NP_001287782.1,NP_001336292.1,NP_001336293.1,NP_001336294.1,NP_001336295.1,NP_057592.2
ENSG00000007001	uridine phosphorylase 2	NP_001128570.1,NP_775491.1
ENSG00000007038	serine protease 21	NP_001257381.1,NP_006790.1,NP_659205.1,NP_659206.1
ENSG00000007047	microtubule affinity regulating kinase 4	NP_001186796.1,NP_113605.2
ENSG00000007062	prominin 1	NP_001139319.1,NP_001139320.1,NP_001139321.1,NP_001139322.1,NP_001139323.1,NP_001139324.1,NP_001358335.1,NP_001358336.1,NP_001358337.1,NP_006008.1
ENSG00000007080	coiled-coil domain containing 124	NP_001129675.1,NP_612451.1
ENSG00000007129	CEA cell adhesion molecule 21	NP_001091976.3,NP_001275702.2,NP_001277042.1,NP_291021.4
ENSG00000007168	platelet activating factor acetylhydrolase 1b regulatory subunit 1	NP_000421.1
ENSG00000007171	nitric oxide synthase 2	NP_000616.3
ENSG00000007174	dynein axonemal heavy chain 9	NP_001363.2,NP_004653.2
ENSG00000007202	KIAA0100	NP_001308489.1,NP_001308490.1,NP_001350755.1,NP_001350756.1,NP_001350757.1,NP_001350758.1,NP_055495.2
ENSG00000007216	solute carrier family 13 member 2	NP_001139447.1,NP_001333612.1,NP_001333613.1,NP_003975.1
ENSG00000007237	growth arrest specific 7	NP_001124303.1,NP_003635.2,NP_958836.1,NP_958839.1
ENSG00000007255	trafficking protein particle complex subunit 6A	NP_001257820.1,NP_001257821.1,NP_001257822.1,NP_077013.1
ENSG00000007264	megakaryocyte-associated tyrosine kinase	NP_002369.2,NP_647611.1,NP_647612.1
ENSG00000007306	CEA cell adhesion molecule 7	NP_001278414.1,NP_008821.2
ENSG00000007312	CD79b molecule	NP_000617.1,NP_001035022.1,NP_001315979.1,NP_067613.1
ENSG00000007314	sodium voltage-gated channel alpha subunit 4	NP_000325.4
ENSG00000007341	suppression of tumorigenicity 7 like	NP_001295193.1,NP_060214.2,NP_620055.1,NP_620056.1,NP_620057.1
ENSG00000007350	transketolase like 1	NP_001139405.1,NP_001139406.1,NP_036385.3
ENSG00000007372	paired box 6	NP_000271.1,NP_001121084.1,NP_001245391.1,NP_001245392.1,NP_001245393.1,NP_001245394.1,NP_001297087.1,NP_001297088.1,NP_001297089.1,NP_001297090.1,NP_001355816.1,NP_001355817.1,NP_001355818.1,NP_001355819.1,NP_001355820.1,NP_001355821.1,NP_001355822.1,NP_001355823.1,NP_001355828.1,NP_001355829.1,NP_001355830.1,NP_001355831.1,NP_001355832.1,NP_001355833.1,NP_001355834.1,NP_001355835.1,NP_001355836.1,NP_001355837.1,NP_001355838.1,NP_001355839.1,NP_001355840.1,NP_001355841.1,NP_001355842.1,NP_001355843.1,NP_001355844.1,NP_001355845.1,NP_001355846.1,NP_001355847.1,NP_001355848.1,NP_001355849.1,NP_001355850.1,NP_001355851.1,NP_001355852.1,NP_001355853.1,NP_001355854.1,NP_001355855.1,NP_001355856.1,NP_001355857.1,NP_001355858.1,NP_001355859.1,NP_001595.2
ENSG00000007376	RNA pseudouridine synthase domain containing 1	NP_001311015.1,NP_001311339.1,NP_001311340.1,NP_001311341.1,NP_001311342.1,NP_001311343.1,NP_001311344.1,NP_001356587.1,NP_001356588.1,NP_001356589.1,NP_478072.1
ENSG00000007384	rhomboid 5 homolog 1	NP_071895.3
ENSG00000007392	LUC7 like	NP_001307155.1,NP_001317349.1,NP_060502.1,NP_958815.1
ENSG00000007402	calcium voltage-gated channel auxiliary subunit alpha2delta 2	NP_001005505.1,NP_001167522.1,NP_001278030.1,NP_006021.2
ENSG00000007516	BAI1 associated protein 3	NP_001186025.1,NP_001186026.1,NP_001186027.1,NP_001186028.1,NP_001273393.2,NP_003924.2
ENSG00000007520	TSR3 ribosome maturation factor	NP_001001410.1
ENSG00000007541	phosphatidylinositol glycan anchor biosynthesis class Q	NP_004195.2,NP_683721.1
ENSG00000007545	cramped chromatin regulator homolog 1	NP_065876.3
ENSG00000007866	TEA domain transcription factor 3	NP_001382143.1,NP_003205.2
ENSG00000007908	selectin E	NP_000441.2
ENSG00000007923	DnaJ heat shock protein family (Hsp40) member C11	NP_060668.2
ENSG00000007933	flavin containing dimethylaniline monoxygenase 3	NP_001002294.1,NP_001306102.1,NP_001306103.1,NP_008825.4
ENSG00000007944	myosin regulatory light chain interacting protein	NP_037394.2
ENSG00000007952	NADPH oxidase 1	NP_001258744.1,NP_008983.2,NP_039249.1
ENSG00000007968	E2F transcription factor 2	NP_004082.1
ENSG00000008018	proteasome 20S subunit beta 1	NP_002784.1
ENSG00000008056	synapsin I	NP_008881.2,NP_598006.1
ENSG00000008083	jumonji and AT-rich interaction domain containing 2	NP_001253969.1,NP_004964.2
ENSG00000008086	cyclin dependent kinase like 5	NP_001032420.1,NP_001310218.1,NP_003150.1
ENSG00000008118	calcium/calmodulin dependent protein kinase IG	NP_065172.1
ENSG00000008128	cyclin dependent kinase 11A	NP_001300825.1,NP_001300911.1,NP_076916.2,NP_277071.2
ENSG00000008130	NAD kinase	NP_001185922.1,NP_001185923.1,NP_001185924.1,NP_001340570.1,NP_001340571.1,NP_075394.3
ENSG00000008196	transcription factor AP-2 beta	NP_003212.2
ENSG00000008197	transcription factor AP-2 delta	NP_758438.2
ENSG00000008226	DLEC1 cilia and flagella associated protein	NP_001308082.1,NP_031361.2,NP_031363.2
ENSG00000008256	cytohesin 3	NP_001354509.1,NP_001354510.1,NP_001354511.1,NP_004218.1
ENSG00000008277	ADAM metallopeptidase domain 22	NP_001311346.1,NP_001311347.1,NP_001311348.1,NP_001311349.1,NP_001311350.1,NP_001378904.1,NP_001378905.1,NP_001378906.1,NP_001378907.1,NP_001378908.1,NP_001378909.1,NP_001378910.1,NP_001378911.1,NP_004185.1,NP_057435.2,NP_068367.1,NP_068368.2,NP_068369.1
ENSG00000008282	synaptophysin like 1	NP_001368839.1,NP_001368840.1,NP_001368841.1,NP_001368842.1,NP_001368844.1,NP_001368845.1,NP_001368846.1,NP_001368847.1,NP_001368848.1,NP_001368849.1,NP_001368850.1,NP_006745.1,NP_874384.1
ENSG00000008283	cytochrome b561	NP_001017916.1,NP_001017917.1,NP_001317350.1,NP_001906.3
ENSG00000008294	sperm associated antigen 9	NP_001123999.1,NP_001124000.1,NP_001238900.1,NP_003962.3
ENSG00000008300	cadherin EGF LAG seven-pass G-type receptor 3	NP_001398.2
ENSG00000008311	aminoadipate-semialdehyde synthase	NP_005754.2
ENSG00000008323	pleckstrin homology and RhoGEF domain containing G6	NP_001138328.1,NP_001138329.2,NP_001371527.1,NP_001371528.1,NP_001371529.1,NP_001371530.1,NP_001371531.1,NP_001371532.1,NP_001371533.1,NP_060643.2
ENSG00000008324	SS18 like 2	NP_001357229.1,NP_057389.1
ENSG00000008382	MPN domain containing	NP_001153318.1,NP_001287791.1,NP_116257.2
ENSG00000008394	microsomal glutathione S-transferase 1	NP_001247440.1,NP_001247441.1,NP_001254527.1,NP_064696.1,NP_665707.1,NP_665734.1,NP_665735.1
ENSG00000008405	cryptochrome circadian regulator 1	NP_004066.1
ENSG00000008438	peptidoglycan recognition protein 1	NP_005082.1
ENSG00000008441	nuclear factor I X	NP_001257972.1,NP_001257973.1,NP_001352831.1,NP_001352911.1,NP_001352912.1,NP_001352913.1,NP_001352914.1,NP_001365333.1,NP_001365334.1,NP_002492.2
ENSG00000008513	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	NP_003024.1,NP_775479.1
ENSG00000008516	matrix metallopeptidase 25	NP_071913.1
ENSG00000008517	interleukin 32	NP_001012649.1,NP_001012650.1,NP_001012651.1,NP_001012652.1,NP_001012653.1,NP_001012654.1,NP_001012736.1,NP_001295007.1,NP_001356516.1,NP_001356517.1,NP_001356518.1,NP_001356519.1,NP_001356520.1,NP_001356521.1,NP_001356522.1,NP_001356524.1,NP_001356525.1,NP_001363852.1,NP_004212.4
ENSG00000008710	polycystin 1, transient receptor potential channel interacting	NP_000287.4,NP_001009944.3
ENSG00000008735	mitogen-activated protein kinase 8 interacting protein 2	NP_036456.1
ENSG00000008838	mediator complex subunit 24	NP_001072986.1,NP_001254726.1,NP_001317140.1,NP_055630.2
ENSG00000008853	Rho related BTB domain containing 2	NP_001153508.1,NP_001153509.1,NP_001361720.1,NP_055993.2
ENSG00000008869	HEAT repeat containing 5B	NP_061897.1
ENSG00000008952	SEC62 homolog, preprotein translocation factor	NP_003253.1
ENSG00000008988	ribosomal protein S20	NP_001014.1,NP_001139699.1
ENSG00000009307	cold shock domain containing E1	NP_001007554.1,NP_001123995.1,NP_001229820.1,NP_001229821.1,NP_001229822.1,NP_009089.4
ENSG00000009335	ubiquitin protein ligase E3C	NP_055486.2
ENSG00000009413	REV3 like, DNA directed polymerase zeta catalytic subunit	NP_001273360.1,NP_001273361.1,NP_001359007.1,NP_002903.3
ENSG00000009694	teneurin transmembrane protein 1	NP_001156750.1,NP_001156751.1,NP_055068.2
ENSG00000009709	paired box 7	NP_001128726.1,NP_002575.1,NP_039236.1
ENSG00000009724	MBL associated serine protease 2	NP_006601.2,NP_631947.1
ENSG00000009765	iodotyrosine deiodinase	NP_001158166.1,NP_001158167.1,NP_001305424.1,NP_981932.1
ENSG00000009780	family with sequence similarity 76 member A	NP_001137384.1,NP_001137385.1,NP_001137386.1,NP_001137387.1,NP_689873.1
ENSG00000009790	TRAF3 interacting protein 3	NP_001274683.1,NP_001307072.1,NP_001307073.1,NP_079504.2
ENSG00000009830	protein O-mannosyltransferase 2	NP_037514.2
ENSG00000009844	vesicle trafficking 1	NP_001273300.1,NP_001273301.1,NP_057569.2
ENSG00000009950	MLX interacting protein like	NP_116569.1,NP_116570.1,NP_116571.1,NP_116572.1
ENSG00000009954	bromodomain adjacent to zinc finger domain 1B	NP_001357331.1,NP_115784.1
ENSG00000010017	RAN binding protein 9	NP_005484.2
ENSG00000010030	ETS variant transcription factor 7	NP_001193964.1,NP_001193965.1,NP_001193966.1,NP_001193967.1,NP_001193968.1,NP_001193969.1,NP_001193970.1,NP_057219.1
ENSG00000010072	SprT-like N-terminal domain	NP_001010984.1,NP_001248391.1,NP_114407.3
ENSG00000010165	methyltransferase 13, eEF1A lysine and N-terminal methyltransferase	NP_001007240.1,NP_055770.1,NP_057019.3
